name,url,letter
Adriblastina RD,https://consultaremedios.com.br/adriblastina-rd/p,a
Amaryl,https://consultaremedios.com.br/amaryl/p,a
Aracytin,https://consultaremedios.com.br/aracytin/p,a
Afinitor,https://consultaremedios.com.br/afinitor/p,a
Arifenicol,https://consultaremedios.com.br/arifenicol/p,a
Azulfin,https://consultaremedios.com.br/azulfin/p,a
Atropion,https://consultaremedios.com.br/atropion/p,a
Azeus,https://consultaremedios.com.br/azeus/p,a
Alimta,https://consultaremedios.com.br/alimta/p,a
Aclasta,https://consultaremedios.com.br/aclasta/p,a
Adenocard,https://consultaremedios.com.br/adenocard/p,a
Asalit,https://consultaremedios.com.br/asalit/p,a
Arflex Retard,https://consultaremedios.com.br/arflex-retard/p,a
AmBisome,https://consultaremedios.com.br/ambisome/p,a
Atacand,https://consultaremedios.com.br/atacand/p,a
Air Salonpas,https://consultaremedios.com.br/air-salonpas/p,a
Agrastat,https://consultaremedios.com.br/agrastat/p,a
Ascaridil,https://consultaremedios.com.br/ascaridil/p,a
Activelle,https://consultaremedios.com.br/activelle/p,a
Atacand HCT,https://consultaremedios.com.br/atacand-hct/p,a
Alkeran Comprimido,https://consultaremedios.com.br/alkeran-comprimido/p,a
Aromasin,https://consultaremedios.com.br/aromasin/p,a
ABC,https://consultaremedios.com.br/abc/p,a
Accolate,https://consultaremedios.com.br/accolate/p,a
Accuvit,https://consultaremedios.com.br/accuvit/p,a
Acebrofilina Biosintética - Aché,https://consultaremedios.com.br/acebrofilina-biosintetica-ache/p,a
Acebrofilina Multilab,https://consultaremedios.com.br/acebrofilina-multilab/p,a
Acnova,https://consultaremedios.com.br/acnova/p,a
Adapaleno Germed Pharma,https://consultaremedios.com.br/adapaleno-germed-pharma/p,a
Adapaleno Medley,https://consultaremedios.com.br/adapaleno-medley/p,a
Adapel,https://consultaremedios.com.br/adapel/p,a
Ad-Til,https://consultaremedios.com.br/ad-til/p,a
Aerotrat,https://consultaremedios.com.br/aerotrat/p,a
Albendrox,https://consultaremedios.com.br/albendrox/p,a
Albistin Creme Vaginal,https://consultaremedios.com.br/albistin-creme-vaginal/p,a
Alcachofra Herbarium,https://consultaremedios.com.br/alcachofra-herbarium/p,a
AAS Protect,https://consultaremedios.com.br/aas-protect/p,a
Acebrofilina Legrand,https://consultaremedios.com.br/acebrofilina-legrand/p,a
Aceclofenaco Comprimido EMS,https://consultaremedios.com.br/aceclofenaco-comprimido-ems/p,a
Acetato de Hidrocortisona União Química,https://consultaremedios.com.br/acetato-de-hidrocortisona-uniao-quimica/p,a
Algestona Acetofenida + Enantato de Estradiol Eurofarma - Momenta,https://consultaremedios.com.br/algestona-acetofenida-enantato-de-estradiol-eurofarma-momenta/p,a
Aciclofar Creme,https://consultaremedios.com.br/aciclofar-creme/p,a
Aciclovir Creme Cifarma,https://consultaremedios.com.br/aciclovir-creme-cifarma/p,a
Abilify,https://consultaremedios.com.br/abilify/p,a
Aceratum,https://consultaremedios.com.br/aceratum/p,a
Acetilcisteína Prati-Donaduzzi,https://consultaremedios.com.br/acetilcisteina-prati-donaduzzi/p,a
Aciclomed Comprimido,https://consultaremedios.com.br/aciclomed-comprimido/p,a
Aciclovir Creme EMS,https://consultaremedios.com.br/aciclovir-creme-ems/p,a
Acetato de Desmopressina - Bergamo,https://consultaremedios.com.br/acetato-de-desmopressina-bergamo-amgen/p,a
Aciclovir Comprimido Medley,https://consultaremedios.com.br/aciclovir-comprimido-medley/p,a
Aciclovir Multilab,https://consultaremedios.com.br/aciclovir-multilab/p,a
Aciclovir Comprimido Neo Química,https://consultaremedios.com.br/aciclovir-comprimido-neo-quimica/p,a
Abcler Abnat,https://consultaremedios.com.br/abcler-abnat/p,a
Ablok,https://consultaremedios.com.br/ablok/p,a
Acebrofilina Cimed,https://consultaremedios.com.br/acebrofilina-cimed/p,a
Aceclofenaco Creme Germed Pharma,https://consultaremedios.com.br/aceclofenaco-creme-germed-pharma/p,a
Acetazona Elixir,https://consultaremedios.com.br/acetazona-elixir/p,a
Acebrofilina Geolab,https://consultaremedios.com.br/acebrofilina-geolab/p,a
Acetildor,https://consultaremedios.com.br/acetildor/p,a
Aciclor,https://consultaremedios.com.br/aciclor/p,a
Acetilcisteína Geolab,https://consultaremedios.com.br/acetilcisteina-geolab/p,a
Acetilcisteína Germed Pharma,https://consultaremedios.com.br/acetilcisteina-germed-pharma/p,a
Acemedrox,https://consultaremedios.com.br/acemedrox/p,a
Acetato de Dexametasona Prati-Donaduzzi,https://consultaremedios.com.br/acetato-de-dexametasona-prati-donaduzzi/p,a
