Name,Quantidade,DoseValor,Preço_limpo,Infos,Cluster,TipoPreco,TipoDose
Adriblastina RD,1.0,10.0,93.98,Pó para solução injetável,0,Baixo,Baixa
Adriblastina RD,1.0,50.0,93.98,Pó para solução injetável,0,Baixo,Baixa
Amaryl,30.0,2.0,68.53,Comprimido,0,Baixo,Baixa
Amaryl,30.0,1.0,35.94,Comprimido,0,Baixo,Baixa
Amaryl,30.0,6.0,145.93,Comprimido,0,Médio,Baixa
Amaryl,30.0,3.0,75.4,Comprimido,0,Baixo,Baixa
Amaryl,30.0,4.0,132.63,Comprimido,0,Médio,Baixa
Afinitor,30.0,5.0,93.98,Comprimido,0,Baixo,Baixa
Afinitor,30.0,10.0,93.98,Comprimido,0,Baixo,Baixa
Afinitor,30.0,2.5,93.98,Comprimido,0,Baixo,Baixa
Arifenicol,30.0,1000.0,93.98,Solução injetável,0,Baixo,Alta
Arifenicol,30.0,1000.0,93.98,Solução injetável,0,Baixo,Alta
Arifenicol,100.0,1000.0,93.98,Solução injetável,0,Baixo,Alta
Azulfin,60.0,500.0,134.69,Comprimido revestido,0,Médio,Alta
Azulfin,10.0,500.0,16.38,Comprimido revestido,0,Baixo,Alta
Azulfin,30.0,500.0,67.35,Comprimido revestido,0,Baixo,Alta
Atropion,30.0,0.25,93.98,Solução injetável,0,Baixo,Baixa
Atropion,30.0,0.5,93.98,Solução injetável,0,Baixo,Baixa
Azeus,30.0,500.0,93.98,Pó para solução injetável,0,Baixo,Alta
Azeus,1.0,1.0,93.98,Pó para solução injetável,0,Baixo,Baixa
Azeus,30.0,1.0,93.98,Pó para solução injetável,0,Baixo,Baixa
Azeus,30.0,1.0,93.98,Pó para solução injetável,0,Baixo,Baixa
Alimta,30.0,500.0,93.98,Pó para solução injetável,0,Baixo,Alta
Alimta,30.0,100.0,93.98,Pó para solução injetável,0,Baixo,Média
Aclasta,30.0,0.05,93.98,Solução injetável,0,Baixo,Baixa
Aclasta,30.0,0.05,93.98,Solução injetável,0,Baixo,Baixa
Adenocard,30.0,3.0,93.98,Solução injetável,0,Baixo,Baixa
Adenocard,30.0,3.0,93.98,Solução injetável,0,Baixo,Baixa
Asalit,20.0,400.0,93.98,Comprimido revestido,0,Baixo,Alta
Asalit,10.0,250.0,93.98,Supositório,0,Baixo,Alta
Asalit,30.0,3.0,93.98,Enema,0,Baixo,Baixa
Arflex Retard,6.0,200.0,93.98,Cápsula de ação prolongada,0,Baixo,Média
Arflex Retard,12.0,200.0,93.98,Cápsula de ação prolongada,0,Baixo,Média
AmBisome,30.0,50.0,93.98,Pó para solução injetável,0,Baixo,Baixa
Atacand,20.0,16.0,93.98,Comprimido,0,Baixo,Baixa
Atacand,30.0,8.0,93.98,Comprimido,0,Baixo,Baixa
Atacand,30.0,16.0,93.98,Comprimido,0,Baixo,Baixa
Atacand,20.0,8.0,93.98,Comprimido,0,Baixo,Baixa
Ascaridil,1.0,80.0,93.98,Comprimido,0,Baixo,Média
Ascaridil,1.0,150.0,93.98,Comprimido,0,Baixo,Média
Ascaridil,1.0,150.0,93.98,Comprimido,0,Baixo,Média
Ascaridil,1.0,80.0,93.98,Comprimido,0,Baixo,Média
Atacand HCT,30.0,12.5,93.98,Comprimido,0,Baixo,Baixa
Atacand HCT,20.0,12.5,93.98,Comprimido,0,Baixo,Baixa
Atacand HCT,30.0,12.5,93.98,Comprimido,0,Baixo,Baixa
Atacand HCT,20.0,12.5,93.98,Comprimido,0,Baixo,Baixa
ABC,30.0,10.0,93.98,Creme dermatológico,0,Baixo,Baixa
ABC,30.0,10.0,93.98,Solução dermatológica (spray),0,Baixo,Baixa
Acebrofilina Biosintética - Aché,30.0,10.0,93.98,Xarope,0,Baixo,Baixa
Acebrofilina Biosintética - Aché,30.0,5.0,93.98,Xarope,0,Baixo,Baixa
Acebrofilina Multilab,30.0,10.0,93.98,Xarope,0,Baixo,Baixa
Acebrofilina Multilab,30.0,5.0,93.98,Xarope,0,Baixo,Baixa
Acebrofilina Multilab,30.0,5.0,93.98,Xarope,0,Baixo,Baixa
Acebrofilina Multilab,30.0,10.0,93.98,Xarope,0,Baixo,Baixa
Acnova,60.0,20.0,93.98,Cápsula gelatinosa mole,0,Baixo,Baixa
Acnova,30.0,10.0,93.98,Cápsula gelatinosa mole,0,Baixo,Baixa
Acnova,30.0,20.0,93.98,Cápsula gelatinosa mole,0,Baixo,Baixa
Ad-Til,30.0,50000.0,93.98,Solução oral (gotas),0,Baixo,Alta
Ad-Til,30.0,50000.0,93.98,Solução oral (gotas),0,Baixo,Alta
Albistin Creme Vaginal,30.0,25000.0,93.98,Creme ginecológico,0,Baixo,Alta
Albistin Creme Vaginal,30.0,25000.0,93.98,Creme ginecológico,0,Baixo,Alta
Alcachofra Herbarium,45.0,300.0,93.98,Cápsula,0,Baixo,Alta
Alcachofra Herbarium,20.0,400.0,93.98,Comprimido revestido,0,Baixo,Alta
AAS Protect,10.0,100.0,93.98,Comprimido revestido,0,Baixo,Média
AAS Protect,30.0,100.0,93.98,Comprimido revestido,0,Baixo,Média
Acebrofilina Legrand,30.0,10.0,93.98,Xarope,0,Baixo,Baixa
Acebrofilina Legrand,30.0,5.0,93.98,Xarope,0,Baixo,Baixa
Aciclovir Creme Cifarma,30.0,50.0,93.98,Creme dermatológico,0,Baixo,Baixa
Abilify,30.0,15.0,1221.65,Comprimido,0,Alto,Baixa
Abilify,10.0,10.0,271.46,Comprimido,0,Médio,Baixa
Abilify,10.0,15.0,390.3,Comprimido,0,Médio,Baixa
Abilify,10.0,20.0,520.41,Comprimido,0,Alto,Baixa
Abilify,30.0,20.0,1561.32,Comprimido,0,Alto,Baixa
Abilify,30.0,30.0,2341.95,Comprimido,0,Alto,Baixa
Abilify,30.0,10.0,759.33,Comprimido,0,Alto,Baixa
