Name,Quantidade na embalagem,Dose,Preço,Codigos de Barras,Infos
Adriblastina RD,1,10mg,,7891268100112,Pó para solução injetável
Adriblastina RD,1,50mg,,7891268100136,Pó para solução injetável
Amaryl,30 Unidades,2mg,"R$ 68,53",7891058160067,Comprimido
Amaryl,30 Unidades,1mg,"R$ 35,94",7891058159054,Comprimido
Amaryl,30 Unidades,6mg,"R$ 145,93",7891058007249,Comprimido
Amaryl,30 Unidades,3mg,"R$ 75,40",7891058007201,Comprimido
Amaryl,30 Unidades,4mg,"R$ 132,63",7891058005221,Comprimido
Aracytin,,,,7891268100402,
Afinitor,30 Unidades,5mg,,7896261016538,Comprimido
Afinitor,30 Unidades,10mg,,7896261016545,Comprimido
Afinitor,30 Unidades,2.5mg,,7896261018075,Comprimido
Arifenicol,5 mL,1000mg,,7896242150176,Solução injetável
Arifenicol,5 mL,1000mg,,7896014686643,Solução injetável
Arifenicol,100 Unidades,1000mg,,7896014686650,Solução injetável
Azulfin,60 Unidades,500mg,"R$ 134,69",7896637022729,Comprimido revestido
Azulfin,10 Unidades,500mg,"R$ 16,38",7896637024037,Comprimido revestido
Azulfin,30 Unidades,500mg,"R$ 67,35",7896637022736,Comprimido revestido
Atropion,1 mL,0.25mg/mL,,7896014688135,Solução injetável
Atropion,1 mL,0.5mg/mL,,7896014688142,Solução injetável
Azeus,100 mL,500mg,,7898208149194,Pó para solução injetável
Azeus,1 Unidades,1g,,7898208148418,Pó para solução injetável
Azeus,,1g,,7898487605626,Pó para solução injetável
Azeus,,1g,,7899498608736,Pó para solução injetável
Alimta,50 mL,500mg,,7896382705366,Pó para solução injetável
Alimta,10 mL,100mg,,7896382706295,Pó para solução injetável
Aclasta,100 mL,0.05mg/mL,,7896261010451,Solução injetável
Aclasta,100 mL,0.05mg/mL,,7897595635259,Solução injetável
Adenocard,2 mL,3mg/mL,,7896094200425,Solução injetável
Adenocard,2 mL,3mg/mL,,7896094200418,Solução injetável
Asalit,20 Unidades,400mg,,7891721000355,Comprimido revestido
Asalit,10 Unidades,250mg,,7891721000300,Supositório
Asalit,100 mL,3g,,7891721000225,Enema
Arflex Retard,6 Unidades,200mg,,7898096577840,Cápsula de ação prolongada
Arflex Retard,12 Unidades,200mg,,7898096577857,Cápsula de ação prolongada
AmBisome,20 mL,50mg,,,Pó para solução injetável
Atacand,20 Unidades,16mg,,7896206402105,Comprimido
Atacand,30 Unidades,8mg,,7896206401160,Comprimido
Atacand,30 Unidades,16mg,,7896206401146,Comprimido
Atacand,20 Unidades,8mg,,7896206402099,Comprimido
Air Salonpas,30 mL,38.5mg/mL,,7896227800058,
Air Salonpas,,undefinedmg/mL,,7896227800041,
Agrastat,,,,7895858005849,
Ascaridil,1 Unidades,80mg,,7896212479863,Comprimido
Ascaridil,1 Unidades,150mg,,7896212479870,Comprimido
Ascaridil,1 Unidades,150mg,,7896212425327,Comprimido
Ascaridil,1 Unidades,80mg,,7896212425297,Comprimido
Activelle,,,,7891317480738,
Atacand HCT,30 Unidades,12.5mg,,7896206402426,Comprimido
Atacand HCT,20 Unidades,12.5mg,,7896206402419,Comprimido
Atacand HCT,30 Unidades,12.5mg,,7896206402082,Comprimido
Atacand HCT,20 Unidades,12.5mg,,7896206402075,Comprimido
Alkeran Comprimido,,,,7895858013103,
Aromasin,,,,7891268100501,
ABC,20 g,10mg/g,,7896331702545,Creme dermatológico
ABC,30 mL,10mg/mL,,7896331702583,Solução dermatológica (spray)
Accolate,,,,7896206400941,
Accuvit,,,,7896658000010,
Acebrofilina Biosintética - Aché,120 mL,10mg/mL,,7896181924081,Xarope
