Name,Quantidade na embalagem,Dose,Preço,Codigos de Barras,Infos
Benzetacil,4 mL,150000UI/mL,R$ -,7891317430429,Suspensão injetável
Benzetacil,4 mL,150000UI/mL,R$ -,7891317496081,Suspensão injetável
Benzetacil,4 mL,300000U/mL,"R$ 206,62",7891317430436,Suspensão injetável
Benzetacil,4 mL,300000UI/mL,"R$ 20,67",7891317496241,Suspensão injetável
Betnovate Q,,,,7896269900396,
Biomag,30 Unidades,15mg,,7896658007040,Cápsula gelatinosa dura
Biomag,30 Unidades,10mg,,7896658007019,Cápsula gelatinosa dura
Biomag,60 Unidades,10mg,,7896658031885,Cápsula gelatinosa dura
Biomag,60 Unidades,15mg,,7896658031892,Cápsula gelatinosa dura
Baraclude,30 Unidades,1mg,R$ -,7896016806315,Comprimido revestido
Baraclude,30 Unidades,0.5mg,"R$ 1693,81",7896016806308,Comprimido revestido
Byetta,1.2 mL,250mcg/mL,,7896016808005,Solução injetável
Byetta,2.4 mL,250mcg/mL,,7896016808012,Solução injetável
Becenun,3 mL,33.333mg/mL,,7896016800849,Pó para solução injetável
Becenun,3 mL,100mg,,7896112427100,Pó para solução injetável
Bacteracin F,,,,7896112133339,
Belscopan,,,,7897917001410,
Benalet TSC,,,,7891010803797,
Babymed,45 g,10000UI/g,,7896523206943,Pomada dermatológica
Babymed,45 g,1000UI/g,,7896523208985,Pomada dermatológica
Babymed,45 g,1000UI/g,,7896523222653,Pomada dermatológica
Bacsulfaprim,50 mL,40mg/mL,,7897732602373,Suspensão oral
Bacsulfaprim,100 mL,40mg/mL,,7897732601482,Suspensão oral
Bacsulfaprim,60 mL,40mg/mL,,7897732603875,Suspensão oral
Bacsulfaprim,50 mL,40mg/mL,,7897732604216,Suspensão oral
Bacsulfaprim,100 mL,40mg/mL,,7897732604247,Suspensão oral
Bactocilin,,,,7898560660566,
Bactrim,5 mL,80mg/mL,,7896226501307,Solução injetável
Bactrim,100 mL,40mg/mL,,7896226500379,Suspensão oral
Bactrim,20 Unidades,400mg,,7898040328597,Comprimido
Bactrim,100 mL,80mg/mL,,7898040328627,Suspensão oral
Bactrim,10 Unidades,800mg,,7898040328603,Comprimido
Bart H,30 Unidades,150mg,,7899640800469,Comprimido
Bart H,30 Unidades,300mg,,7899640800582,Comprimido
Bart H,7 Unidades,150mg,,7891317022846,Comprimido
Bart H,7 Unidades,300mg,,7891317022860,Comprimido
Benectrin,100 mL,40mg/mL,,7896004813172,Suspensão oral
Benectrin,20 Unidades,400mg,,7896004810041,Comprimido
Benectrin,10 Unidades,800mg,,7896004810065,Comprimido
Benectrin,48 Unidades,400mg,,7896004787756,Comprimido
Benectrin,50 Unidades,400mg,,7896004787763,Comprimido
Benzin,,,,7898060131184,
Berberis-Homaccord,,,,7898908753127,
Beserol,100 Unidades,300mg,,7897595903167,Comprimido
Beserol,4 Unidades,30mg,,7891058002770,Comprimido
Beserol,12 Unidades,30mg,,7897595901187,Comprimido
Beserol,30 Unidades,30mg,,7896026171359,Comprimido
Betametasona Prati-Donaduzzi,,,,7898148296101,
Baclon,,,,7896006270072,
Bactroneo,,,,7896714217185,
Beneum,30 Unidades,300mg,,7896112148852,Comprimido revestido
Beneum,50 Unidades,300mg,,7896112128342,Comprimido revestido
Benzoben,60 mL,250mg/mL,,7897732628038,Emulsão dermatológica
Benzoben,60 mL,0.2mL/mL,,7897732600591,Emulsão dermatológica
Benzoben,60 mL,250mg/mL,,7897732601274,Emulsão dermatológica
Besilato de Anlodipino Biolab Genéricos,30 Unidades,10mg,,7898146822159,Comprimido
Besilato de Anlodipino Biolab Genéricos,30 Unidades,5mg,,7898146822135,Comprimido
Bebex Ade,,,,7899095220492,
Bebex N,60 g,100000UI/g,,7899095220478,Pomada dermatológica
Bebex N,60 g,100000UI/g,,7899095212459,Pomada dermatológica
Bebex Previne,135 g,200mg/g,,7899095220539,Creme dermatológico
Bebex Previne,60 g,200mg/g,,7899095222175,Creme dermatológico
Bebex Previne,90 g,200mg/g,,7899095247017,Creme dermatológico
Bebex Previne,90 g,200mg/g,,7899095247024,Creme dermatológico
Bebex Previne,135 g,200mg/g,,7899095247062,Creme dermatológico
Bebex Previne,45 g,100mg/g,,7899095259317,Pomada dermatológica
Bebex Previne,45 g,200mg/g,,7899095220331,Creme dermatológico
Benegrip,6 Unidades,500mg,,7896094903036,Comprimido revestido
Benegrip,20 Unidades,500mg,,7896094904682,Comprimido revestido
Benegrip,12 Unidades,500mg,,7896094915107,Comprimido revestido
Besilato de Anlodipino Ranbaxy,30 Unidades,5mg,"R$ 54,23",7897076909374,Comprimido
Besilato de Anlodipino Ranbaxy,30 Unidades,10mg,"R$ 108,55",7897076909428,Comprimido
Barbitron,20 Unidades,100mg,,7896137111145,Comprimido
Barbitron,500 Unidades,100mg,,7896137111565,Comprimido
Bariogel,200 mL,1g/mL,,7896676413618,Suspensão oral
Bariogel,150 mL,1g/mL,,7896676400724,Suspensão oral
Bariogel,150 mL,1g/mL,,7896676413625,Suspensão oral
Besilato de Anlodipino Sandoz,30 Unidades,10mg,,7897595631817,Comprimido
Besilato de Anlodipino Sandoz,30 Unidades,5mg,,7897595631770,Comprimido
Besilato de Anlodipino Sandoz,60 Unidades,10mg,,7897595635136,Comprimido
Besilato de Anlodipino Sandoz,60 Unidades,5mg,,7897595635112,Comprimido
Besilato de Anlodipino Biosintética - Aché,20 Unidades,10mg,,7896181906223,Comprimido
Besilato de Anlodipino Biosintética - Aché,60 Unidades,10mg,,7896181906292,Comprimido
Besilato de Anlodipino Biosintética - Aché,20 Unidades,5mg,,7896181906162,Comprimido
Besilato de Anlodipino Biosintética - Aché,30 Unidades,10mg,,7896181900443,Comprimido
Besilato de Anlodipino Biosintética - Aché,30 Unidades,5mg,,7896181900658,Comprimido
Besilato de Anlodipino Biosintética - Aché,60 Unidades,5mg,,7896181906209,Comprimido
Belfactrim,20 Unidades,400mg,,7897917000260,Comprimido
Belfactrim,10 Unidades,800mg,,7897917001694,Comprimido
Belfactrim,500 Unidades,400mg,,7897917003544,Comprimido
Belfaren Gel,60 g,10mg/g,,7897917001762,Gel
Belfaren Gel,60 g,10mg/g,,7897917000413,Gel
Benerva,30 Unidades,300mg,,7891106006316,Comprimido revestido
Benerva,8 Unidades,300mg,,7893454714318,Comprimido revestido
Benerva,60 Unidades,300mg,,7893454714523,Comprimido revestido
Benzitrat,,,,7896006216261,
Beriglobina,,,,7897499450187,
Besilato de Anlodipino Zydus Nikkho,,,,7898910350093,
Besilato de Anlodipino Nova Química,30 Unidades,10mg,,7895296221085,Comprimido
Besilato de Anlodipino Nova Química,30 Unidades,5mg,,7895296221030,Comprimido
Babyneo,,,,7896714225623,
Benzoderm,100 mL,0.25g/mL,,7898014560060,Emulsão dermatológica
Benzoderm,60 g,6g/g,,7898014560077,Sabonete
Berotec,120 mL,0.5mg/mL,,7896026300254,Xarope
Berotec,120 mL,0.25mg,,7896026300261,Xarope
Berotec,20 mL,5mg/mL,,7896026300247,Solução oral (gotas)
Berotec,10 mL,2mg/mL,,7896026302784,Solução aerossol
Berotec,10 mL,32mg/mL,,7896026300223,Solução aerossol
Betacortazol,30 g,20mg/g,,7897917001168,Creme dermatológico
Betacortazol,30 g,20mg,,7897917004695,Creme dermatológico
Betacortazol,30 g,20mg,,7897917004701,Creme dermatológico
Benatux Xarope,120 mL,5mg,,7898158692528,Xarope
Benatux Xarope,120 mL,2.5mg/mL,,7898495603812,Xarope
Betaferon,,,,7891106903974,
Beta-Long,1 mL,3mg/mL,"R$ 673,47",7896006221609,Suspensão injetável
Beta-Long,1 mL,3mg/mL,"R$ 26,89",7896006221623,Suspensão injetável
Beta Ophtiole,,,,7896046300081,
Bactropin,20 Unidades,400mg,,7896523201023,Comprimido
Bactropin,100 mL,40mg/mL,,7896523201009,Suspensão oral
Bacigen,,,,7893736000511,
Beminal,,,,7891317006044,
Benevat,,,,7896112141938,
Benevran Gel,,,,7896004706146,
Benzac AC,60 g,100mg/g,"R$ 50,33",7897930763791,Gel
Benzac AC,60 g,25mg/g,"R$ 45,71",7897930763876,Gel
Benzac AC,60 g,50mg/g,R$ -,7897930763951,Gel
Benzidrol,30 mL,1.5mg/mL,,7899547504507,Colutório (spray)
Benzidrol,150 mL,1.5mg/mL,,7899547506259,Colutório (spray)
Benzidrol,150 mL,1.5mg/mL,,7899547506273,Colutório (spray)
Benzidrol,150 mL,1.5mg/mL,,7899547506297,Colutório (spray)
Benzidrol,150 mL,1.5mg/mL,,7899547506310,Colutório (spray)
Betagan,5 mL,5mg/mL,,7897316800058,Solução oftálmica (colírio)
Betagan,10 mL,5mg/mL,,7897316800065,Solução oftálmica (colírio)
Bentyl,,,,7896422507974,
Bactoderm,50 g,5mg/g,,7896331705461,Pomada dermatológica
Bactoderm,15 g,5mg/g,,7896331703221,Pomada dermatológica
Bactrisan,50 mL,40mg/mL,,7896137110599,Suspensão oral
Bactrisan,20 Unidades,400mg,,7896137111503,Comprimido
Belcomplex Comprimido,,,,7897917000338,
Belglós,20 g,400UI/g,,7897917000734,Pomada
Belglós,45 g,1000UI/g,,7897917003995,Pomada
Benalet,4 Unidades,5mg,R$ -,7891268402155,Pastilha
Benalet,4 Unidades,5mg,R$ -,7891268402131,Pastilha
Benalet,4 Unidades,5mg,R$ -,7891268402148,Pastilha
Benalet,4 Unidades,5mg,"R$ 106,58",7891268402025,Pastilha
Benalet,4 Unidades,5mg,"R$ 100,56",7891268402018,Pastilha
Benalet,12 Unidades,5mg,"R$ 40,85",7891268402001,Pastilha
Benalet,12 Unidades,5mg,"R$ 40,85",7891010256692,Pastilha
Beclort,,,,7897473201705,
Berlison,15 g,10mg/g,,,Pomada dermatológica
Bactomax,3 mL,200mg,,7896676410594,Pó para solução injetável
Bactomax,3 mL,400mg,,7896676412796,Pó para solução injetável
Bactomax,3 mL,400mg,,7896676412857,Pó para solução injetável
Bactomax,3 mL,200mg,,7896676410587,Pó para solução injetável
Bacina,15 g,5mg/g,,7897917000826,Pomada dermatológica
Bacina,10 g,5mg/g,,7897917002646,Pomada dermatológica
Bacina,15 g,5mg/g,,7897917002875,Pomada dermatológica
Bacina,10 g,5mg/g,,7897917002868,Pomada dermatológica
Bac Sulfitrin,10 Unidades,800mg,,7896714235295,Comprimido
Bac Sulfitrin,5 mL,80mg/mL,,7896714233529,Solução injetável
Bactocin,,,,7893353312615,
Beclonato,1 mL,5mg/mL,,7896714233512,Suspensão injetável
