Name,Quantidade na embalagem,Dose,Preço,Codigos de Barras,Infos
Carbolitium,25 Unidades,300mg,"R$ 26,65",7891317440275,Comprimido revestido
Carbolitium,50 Unidades,300mg,"R$ 53,46",7891317000189,Comprimido revestido
Carbolitium,10 Unidades,450mg,"R$ 24,80",7891317440268,Comprimido de liberação prolongada
Carbolitium,30 Unidades,450mg,"R$ 74,43",7891317000226,Comprimido revestido de liberação prolongada
Carbolitium,90 Unidades,450mg,"R$ 223,28",7891317013639,Comprimido de liberação prolongada
Carbolitium,60 Unidades,450mg,"R$ 148,86",7891317013622,Comprimido de liberação prolongada
Carbolitium,90 Unidades,300mg,"R$ 96,08",7891317013615,Comprimido revestido
Carbolitium,60 Unidades,300mg,"R$ 64,10",7891317013608,Comprimido revestido
Carbolitium,15 Unidades,300mg,"R$ 15,98",7891317020040,Comprimido revestido
Carbolitium,15 Unidades,450mg,"R$ 37,20",7891317020064,Comprimido de liberação prolongada
Carbolitium,15 Unidades,450mg,"R$ 37,20",7891317027964,Comprimido de liberação prolongada
Carbolitium,30 Unidades,450mg,"R$ 74,43",7891317027988,Comprimido de liberação prolongada
Carbolitium,60 Unidades,450mg,"R$ 148,86",7891317027940,Comprimido de liberação prolongada
Carbolitium,90 Unidades,450mg,"R$ 223,28",7891317027957,Comprimido de liberação prolongada
Claforan,,,,7891058221096,
Cobavital,98 mL,0.8mg/mL,"R$ 22,08",7896255767088,Xarope
Cobavital,30 Unidades,4mg,"R$ 41,70",7891158102950,Microcomprimidos
Cobavital,16 Unidades,4mg,"R$ 24,09",7896255767330,Microcomprimidos
Cobavital,30 Unidades,4mg,R$ -,7891158106897,Comprimido
Cobavital,16 Unidades,4mg,R$ -,7891158106965,Comprimido
Coumadin,30 Unidades,2.5mg,,7896016805806,Comprimido
Coumadin,30 Unidades,5mg,,7896016805820,Comprimido
Coumadin,30 Unidades,1mg,,7896016805783,Comprimido
Claritin D,12 Unidades,5mg,R$ -,7891142129093,Drágea
Claritin D,6 Unidades,10mg,R$ -,7891142129055,Comprimido revestido
Claritin D,6 Unidades,5mg,R$ -,7891142129192,Drágea
Claritin D,30 mL,1mg/mL,R$ -,7897337712910,Xarope
Claritin D,60 mL,1mg/mL,"R$ 55,60",7891106912808,Xarope
Clorana,20 Unidades,50mg,,7897595900722,Comprimido
Clorana,30 Unidades,25mg,,7897595901521,Comprimido
Combivent,,,,7896026300926,
Crinone,1.125 g,80mg/g,,7891721022623,Gel
Crinone,1.125 g,80mg/g,,7891721022630,Gel
Carduran XL,30 Unidades,4mg,,7891268109122,Comprimido revestido de liberação controlada
Carduran XL,10 Unidades,4mg,,7891268109146,Comprimido revestido de liberação prolongada
Cizax,30 Unidades,10mg,,7891142128836,Comprimido
Cizax,10 Unidades,10mg,,7891142128867,Comprimido
Cizax,30 Unidades,5mg,,7891142128812,Comprimido
Cizax,10 Unidades,5mg,,7891142128744,Comprimido
Cizax,4 Unidades,5mg,,7891142128973,Comprimido
Cizax,4 Unidades,10mg,,7891142128980,Comprimido
Cortisonal Injetável,50 Unidades,100mg,,7896006239239,Pó para solução injetável
Cortisonal Injetável,50 Unidades,500mg,,7896006238737,Pó para solução injetável
Cromolerg,5 mL,20mg/mL,,7897316801390,Solução oftálmica (colírio)
Cromolerg,5 mL,40mg/mL,,7897316801413,Solução oftálmica (colírio)
Cyclofemina,0.5 mL,25mg,,7896830500574,Suspensão injetável
Cyclofemina,0.5 mL,25mg,,7896316101424,Suspensão injetável
Cyclofemina,0.5 mL,25mg,,7896316101431,Suspensão injetável
Cyclofemina,0.5 mL,25mg,,7896316101448,Suspensão injetável
Cymevene,,,,7896226501260,
Clomid,,,,7896422513098,
Cronomet,,,,7897337705417,
Co Renitec,30 Unidades,20mg,,7897337705905,Comprimido
Co Renitec,30 Unidades,10mg,,7897337705912,Comprimido
Caladryl,,,,,
Canesten,30 mL,10mg/mL,"R$ 44,94",7891106900898,Solução dermatológica (spray)
Canesten,30 mL,10mg/mL,"R$ 63,64",7891106900614,Solução dermatológica (spray)
Canesten,20 g,10mg/g,"R$ 31,87",7891106900591,Creme dermatológico
CellCept,,,,7896226501284,
Ciclovulon,,,,7896137110506,
Cosopt,5 mL,5mg/mL,,7898586631342,Solução oftálmica (colírio)
Cosopt,10 mL,5mg/mL,,7898586631335,Solução oftálmica (colírio)
Cerazette,84 Unidades,75mcg,,7897572006119,Comprimido revestido
Cerazette,28 Unidades,75mcg,,7897572001190,Comprimido revestido
Clopido-Gran,,,,7896004722382,
Crestor,30 Unidades,10mg,,7896206402372,Comprimido revestido
Crestor,10 Unidades,10mg,,7896206402365,Comprimido revestido
Crestor,10 Unidades,5mg,,7896206403638,Comprimido revestido
Crestor,30 Unidades,5mg,,7896206403645,Comprimido revestido
Crestor,30 Unidades,40mg,,7896206402983,Comprimido revestido
Crestor,10 Unidades,20mg,,7896206402389,Comprimido revestido
Crestor,30 Unidades,20mg,,7896206402396,Comprimido revestido
Crestor,60 Unidades,5mg,,7896206403652,Comprimido revestido
Crestor,90 Unidades,5mg,,7896206403669,Comprimido revestido
Calcort,10 Unidades,30mg,,7891058013417,Comprimido
Calcort,20 Unidades,6mg,,7891058013318,Comprimido
Cataflampro,100 g,11.6mg/g,,7896261016279,Gel
Cataflampro,85 mL,11.6mg/g,,7896261005720,Solução dermatológica
Cataflampro,85 mL,11.6mg/g,,7896261005723,Solução dermatológica (spray)
Cataflampro,60 g,11.6mg/g,,7896261014268,Gel
Cataflampro,150 g,11.6mg/g,,7896261018310,Gel
Cataflampro,30 g,11.6mg/g,,7896261014244,Gel
Cataflampro,100 g,23.2mg/g,,7896261019348,Gel
Cataflampro,50 g,23.2mg/g,,7896261019331,Gel
Cedur Retard,30 Unidades,400mg,,7897473206922,Comprimido de liberação prolongada
Cedur Retard,30 Unidades,400mg,,7898587901529,Comprimido revestido de liberação prolongada
Capoten,30 Unidades,25mg,,7896016807565,Comprimido
Capoten,30 Unidades,50mg,,7896016807572,Comprimido
Capoten,30 Unidades,12.5mg,,7896016801365,Comprimido
Capoten,28 Unidades,25mg,,7896016801372,Comprimido
Camptosar,5 mL,20mg/mL,,7891268100600,Solução injetável
Camptosar,2 mL,20mg/mL,,7891268100624,Solução injetável
Camptosar,2 mL,20mg/mL,,7891268100150,Solução injetável
Cepacaína,12 Unidades,10mg,,7891058220761,Pastilha
Cepacaína,50 mL,4mg/mL,,7891058220839,Solução oral
Cepacaína,100 mL,4mg/mL,,7891058220815,Solução oral
Cicloplégico,,,,7897316801277,
Colpistatin,,,,7896658000805,
Concor,28 Unidades,5mg,,7891721070785,Comprimido revestido
Concor,28 Unidades,1.25mg,,7891721070600,Comprimido revestido
Concor,28 Unidades,10mg,,7891721070914,Comprimido revestido
Concor,14 Unidades,2.5mg,,7891721040115,Comprimido revestido
Concor,14 Unidades,5mg,,7891721040122,Comprimido revestido
Concor,28 Unidades,2.5mg,,7891721070655,Comprimido revestido
Concor,20 Unidades,1.25mg,,7891721024917,Comprimido revestido
Concor,30 Unidades,1.25mg,,7891721024924,Comprimido revestido
Concor,20 Unidades,10mg,,7891721025211,Comprimido revestido
Concor,30 Unidades,10mg,,7891721025228,Comprimido revestido
Concor,20 Unidades,2.5mg,,7891721024979,Comprimido revestido
Concor,30 Unidades,2.5mg,,7891721024986,Comprimido revestido
Concor,20 Unidades,5mg,,7891721025099,Comprimido revestido
Concor,30 Unidades,5mg,,7891721025105,Comprimido revestido
Cebralat,30 Unidades,50mg,,7896094201422,Comprimido
Cebralat,15 Unidades,100mg,,7896094207660,Comprimido
Cebralat,30 Unidades,100mg,,7896094201415,Comprimido
Cebralat,60 Unidades,100mg,,7896094202047,Comprimido
Cebralat,60 Unidades,50mg,,7896094202030,Comprimido
Cebralat,120 Unidades,50mg,,7896094210684,Comprimido
Cebralat,120 Unidades,100mg,,7896094210691,Comprimido
Claripel,30 g,40mg/g,,7896251802004,Gel
Claripel,30 g,40mg/mL,,7896251801427,Creme dermatológico
Cestox,,,,7891721013447,
Candicort,30 g,20mg/g,,7896658001116,Creme dermatológico
Candicort,30 g,20mg/g,,7896658001123,Pomada dermatológica
Candicort,10 g,20mg/g,,7896658012181,Creme dermatológico
Candicort,10 g,20mg/g,,7896658008573,Pomada dermatológica
Comtan,,,,7896261003828,
Coversyl,30 Unidades,4mg,,7898029551046,Comprimido
Coversyl,30 Unidades,8mg,,7898029551145,Comprimido
Coversyl,15 Unidades,4mg,,7898029551060,Comprimido
Coversyl,15 Unidades,8mg,,7898029551138,Comprimido
Cartrax,,,,7891268110012,
Cliane,,,,7891106905893,
Colchis,30 Unidades,1mg,,7896637024365,Comprimido
Colchis,30 Unidades,0.5mg,,7896637024358,Comprimido
Colchis,20 Unidades,0.5mg,,7896637022927,Comprimido
Colchis,20 Unidades,1mg,,7896637023030,Comprimido revestido
Cialis,2 Unidades,20mg,,7896382703614,Comprimido revestido
Cialis,8 Unidades,20mg,,7896382705397,Comprimido revestido
Cialis,4 Unidades,20mg,,7896382703973,Comprimido revestido
Cialis,12 Unidades,20mg,,7896382706714,Comprimido revestido
Cialis,1 Unidades,20mg,,7896382705342,Comprimido revestido
Cialis,15 Unidades,5mg,,7896382706363,Comprimido revestido
Cialis,30 Unidades,5mg,,7896382706370,Comprimido revestido
Citalor,30 Unidades,80mg,R$ -,7891268102253,Comprimido revestido
Citalor,60 Unidades,10mg,"R$ 275,35",7891268102314,Comprimido revestido
Citalor,60 Unidades,20mg,"R$ 275,35",7891268102345,Comprimido revestido
Citalor,30 Unidades,10mg,"R$ 112,77",7891268102161,Comprimido revestido
Citalor,10 Unidades,40mg,"R$ 91,79",7891268116922,Comprimido revestido
Citalor,30 Unidades,40mg,"R$ 225,57",7891268102246,Comprimido revestido
Citalor,30 Unidades,20mg,"R$ 112,77",7891268102239,Comprimido revestido
Citalor,20 Unidades,10mg,"R$ 91,79",7891268102222,Comprimido revestido
Citalor,90 Unidades,10mg,"R$ 413,03",7891268102321,Comprimido revestido
Citalor,20 Unidades,20mg,"R$ 91,79",7891268102338,Comprimido revestido
Citalor,90 Unidades,20mg,"R$ 413,03",7891268102352,Comprimido revestido
Citalor,20 Unidades,40mg,"R$ 183,56",7891268102369,Comprimido revestido
Citalor,60 Unidades,40mg,"R$ 550,70",7891268102390,Comprimido revestido
Citalor,90 Unidades,40mg,"R$ 826,11",7891268102543,Comprimido revestido
Citalor,60 Unidades,80mg,"R$ 550,67",7891268102574,Comprimido revestido
Citalor,90 Unidades,80mg,"R$ 826,04",7891268102581,Comprimido revestido
Colírio Moura Brasil,,,,7891058020316,
Concerta,30 Unidades,36mg,,7896212420117,Comprimido revestido de liberação prolongada
Concerta,30 Unidades,54mg,,7896212420124,Comprimido revestido de liberação prolongada
Concerta,30 Unidades,18mg,,7896212420100,Comprimido revestido de liberação prolongada
Cordarex,30 Unidades,5mg,,7896181901747,Comprimido
Cordarex,7 Unidades,2.5mg,,7896181917731,Comprimido
Cordarex,30 Unidades,2.5mg,,7896181901631,Comprimido
Cordarex,20 Unidades,5mg,,7896181900795,Comprimido
