Name,Quantidade na embalagem,Dose,Preço,Codigos de Barras,Infos
Depo Provera,1 mL,50mg/mL,R$ -,7891268101720,Suspensão injetável
Depo Provera,0.65 mL,160mg/mL,R$ -,7891268110425,Suspensão injetável
Depo Provera,1 mL,150mg/mL,"R$ 66,87",7891268101782,Suspensão injetável
Depo Provera,1 mL,150mg/mL,"R$ 51,61",7891268101799,Suspensão injetável
Dermazine,30 g,10mg/g,R$ -,7898169080161,Creme dermatológico
Dermazine,100 g,10mg/g,R$ -,7898169080130,Creme dermatológico
Dermazine,50 g,10mg/g,R$ -,7898169080178,Creme dermatológico
Dermazine,15 g,10mg/g,R$ -,7898169080215,Creme dermatológico
Dermazine,30 g,10mg/g,R$ -,7898169080154,Creme dermatológico
Dermazine,50 g,10mg/g,R$ -,7898169080185,Creme dermatológico
Dermazine,400 g,10mg/g,R$ -,7898169080147,Creme dermatológico
Dermazine,100 g,10mg/g,R$ -,7898169080321,Creme dermatológico
Dermazine,100 g,10mg/g,R$ -,7898169080338,Creme dermatológico
Dermazine,120 g,10mg/g,R$ -,7898169080345,Creme dermatológico
Dermazine,120 g,10mg/g,R$ -,7898169080352,Creme dermatológico
Dermazine,120 g,10mg/g,R$ -,7898169080369,Creme dermatológico
Dermazine,120 g,10mg/g,R$ -,7898169080376,Creme dermatológico
Dermazine,50 g,10mg/g,"R$ 48,40",7898169080123,Creme dermatológico
Dermazine,30 g,10mg/g,"R$ 35,74",7898169080116,Creme dermatológico
Dermazine,100 g,10mg/g,"R$ 628,98",7898169080314,Creme dermatológico
Dermazine,400 g,10mg/g,"R$ 173,52",7896676438222,Creme dermatológico
Dermazine,30 g,10mg/g,"R$ 51,92",7896676438277,Creme ginecológico
Dormonid Comprimido,20 Unidades,7.5mg,R$ -,7896226503622,Comprimido revestido
Dormonid Comprimido,30 Unidades,7.5mg,"R$ 66,54",7896226503288,Comprimido revestido
Dormonid Comprimido,30 Unidades,15mg,"R$ 133,27",7896226502465,Comprimido revestido
Dormonid Comprimido,20 Unidades,15mg,"R$ 88,78",7896226501178,Comprimido revestido
