Name,Quantidade na embalagem,Dose,Preço,Codigos de Barras,Infos
Ezetrol,10 Unidades,10mg,R$ -,7897337701549,Comprimido
Ezetrol,30 Unidades,10mg,"R$ 227,80",7897337704120,Comprimido
Ergotrate,12 Unidades,0.2mg,"R$ 8,28",7896241232132,Comprimido
Ergotrate,1 mL,0.2mg/mL,"R$ 190,50",7896241230459,Solução injetável
Exelon,50 mL,2mg/mL,,7896261008816,Solução oral
Exelon,28 Unidades,4.5mg,,7896261007789,Cápsula gelatinosa dura
Exelon,28 Unidades,1.5mg,,7896261007758,Cápsula gelatinosa dura
Exelon,28 Unidades,6mg,,7896261007796,Cápsula gelatinosa dura
Exelon,120 mL,2mg/mL,,7896261004580,Solução oral
Exelon,28 Unidades,3mg,,7896261007772,Cápsula gelatinosa dura
Exelon,56 Unidades,3mg,,7896261007765,Cápsula
Exelon,120 mL,2mg/mL,,7898054580295,Solução oral
Exelon,28 Unidades,1.5mg,,7898054580257,Cápsula dura
Exelon,28 Unidades,3mg,,7898054580264,Cápsula dura
Exelon,28 Unidades,4.5mg,,7898054580271,Cápsula dura
Exelon,28 Unidades,6mg,,7898054580288,Cápsula dura
Exelon,7 Unidades,9mg,,7898054580400,Adesivo transdérmico
Exelon,30 Unidades,9mg,,7898054580301,Adesivo transdérmico
Exelon,15 Unidades,18mg,,7898054580394,Adesivo transdérmico
Exelon,30 Unidades,18mg,,7898054580332,Adesivo transdérmico
Exelon,15 Unidades,27mg,,7898054580387,Adesivo transdérmico
Exelon,30 Unidades,27mg,,7898054580363,Adesivo transdérmico
Exelon,7 Unidades,18mg,,7898054580448,Adesivo transdérmico
Exelon,7 Unidades,27mg,,7898054580424,Adesivo transdérmico
Evanor,63 Unidades,0.25mg,,7891045000895,Comprimido
Evanor,21 Unidades,0.25mg,,7891045000987,Comprimido
Ebix,28 Unidades,10mg,,,Comprimido revestido
Elocom,20 g,1mg/g,R$ -,7891142144072,Pomada dermatológica
Elocom,20 g,1mg/g,"R$ 59,29",7891142144058,Creme dermatológico
Equilid,20 Unidades,200mg,,7891058030124,Comprimido
Equilid,20 Unidades,50mg,,7891058030216,Cápsula dura
Eulexin,,,,7891142157027,
Efexor XR,7 Unidades,75mg,,7891045004312,Cápsula gelatinosa dura
Efexor XR,7 Unidades,150mg,,7891045014359,Cápsula gelatinosa dura
Efexor XR,14 Unidades,37.5mg,,7891045011181,Cápsula gelatinosa dura
Efexor XR,14 Unidades,150mg,,7891045005999,Cápsula gelatinosa dura
Efexor XR,14 Unidades,75mg,,7891045005982,Cápsula gelatinosa dura
Efexor XR,7 Unidades,37.5mg,,7891045008839,Cápsula gelatinosa dura
Efexor XR,30 Unidades,150mg,,7891045013611,Cápsula gelatinosa dura
Efortil,20 mL,7.5mg/mL,,7896026300414,Solução oral (gotas)
Efortil,1 mL,10mg/mL,,7896026302340,Solução injetável
Efortil,20 Unidades,5mg,,7896026300421,Comprimido
Estomazil Pastilha,20 Unidades,230mg,,7896094903692,Comprimido mastigável
Estomazil Pastilha,10 Unidades,230mg,,7896094903715,Comprimido mastigável
Estomazil Pastilha,40 Unidades,230mg,,7896094903708,Comprimido mastigável
Estomazil Pastilha,20 Unidades,230mg,,7896094903722,Comprimido mastigável
Estomazil Pastilha,40 Unidades,230mg,,7896094903739,Comprimido mastigável
Estomazil Pastilha,250 Unidades,230mg,,7896094903746,Comprimido mastigável
Estomazil Pastilha,40 Unidades,230mg,,7896094903760,Comprimido mastigável
Estomazil Pastilha,30 Unidades,230mg,,7896094903791,Comprimido mastigável
Estomazil Pastilha,40 Unidades,230mg,,7896094903821,Comprimido mastigável
Estomazil Pastilha,10 Unidades,185mg,,7896094903777,Comprimido mastigável
Estomazil Pastilha,20 Unidades,185mg,,7896094903784,Comprimido mastigável
Estomazil Pastilha,20 Unidades,185mg,,7896094903753,Comprimido mastigável
Estomazil Pastilha,10 Unidades,185mg,,7896094903838,Pastilha
Estomazil Pastilha,10 Unidades,185mg,,7896094903807,Comprimido mastigável
Estomazil Pastilha,20 Unidades,185mg,,7896094903814,Comprimido mastigável
Estomazil Pastilha,10 Unidades,185mg,,7896094912601,Comprimido mastigável
Estomazil Pastilha,20 Unidades,231.5mg,,7896094931183,Pastilha
Estomazil Pastilha,200 Unidades,231.5mg,,7896094931190,Pastilha
Escabin,100 mL,0.2mg/mL,,7891104195616,Shampoo
Escabin,100 mL,0.2mg/mL,,7891104195609,Loção dermatológica
Escabin,70 g,0.3mg/g,,7891104198006,Sabonete
Eloxatin,40 mL,5mg/mL,,7891058007768,Solução injetável
Eloxatin,20 mL,5mg/mL,,7897595903792,Solução injetável
Eloxatin,10 mL,5mg/mL,,7897595903785,Solução injetável
Emla,5 g,25mg/g,,7896206401276,Creme dermatológico
Emla,5 g,25mg/g,,7896206401283,Creme dermatológico
Emla,5 g,25mg/g,,7895858017071,Creme dermatológico
Epivir Comprimido,,,,7896269900891,
Excedrin,,,,7896261012042,
Esmeron,5 mL,10mg/mL,,7897572002661,Solução injetável
Esmeron,2.5 mL,10mg/mL,,7897572001275,Solução injetável
Ethamolin,,,,7898040320874,
Elidel,30 g,10mg/g,,7896261006447,Creme dermatológico
Elidel,15 g,10mg/g,,7896261006430,Creme dermatológico
Elidel,100 g,10mg/g,,7898560664014,Creme dermatológico
Esperson N,,,,7891058260071,
Ecalta,1 Unidades,100mg,,7891268111798,Pó para solução injetável
Ecalta,1 Unidades,100mg,,7891268111675,Pó para solução injetável
Ebastel D,,,,7896070005303,
Esperson,,,,7891058263096,
Effient,30 Unidades,10mg,,7897411601482,Comprimido revestido
Effient,14 Unidades,10mg,,7897411601475,Comprimido revestido
Effient,14 Unidades,5mg,,7897411601451,Comprimido revestido
Effient,30 Unidades,5mg,,7897411601468,Comprimido revestido
Enablex,7 Unidades,15mg,,7895858015206,Comprimido revestido de liberação prolongada
Enablex,28 Unidades,15mg,,7895858015220,Comprimido revestido de liberação prolongada
Enablex,56 Unidades,15mg,,7895858015237,Comprimido revestido de liberação prolongada
Enablex,98 Unidades,15mg,,7895858015244,Comprimido revestido de liberação prolongada
Enablex,14 Unidades,15mg,,7895858015213,Comprimido revestido de liberação prolongada
Enablex,14 Unidades,7.5mg,,7895858015169,Comprimido revestido
Enablex,28 Unidades,7.5mg,,7895858015176,Comprimido revestido de liberação prolongada
Enablex,56 Unidades,7.5mg,,7895858015183,Comprimido revestido de liberação prolongada
Enablex,7 Unidades,7.5mg,,7895858015152,Comprimido revestido de liberação prolongada
