Name,Quantidade na embalagem,Dose,Preço,Codigos de Barras,Infos
Famox Comprimido,10 Unidades,40mg,"R$ 64,84",7896658000393,Comprimido
Famox Comprimido,10 Unidades,20mg,"R$ 34,10",7896658000379,Comprimido
Famox Comprimido,15 Unidades,40mg,"R$ 194,51",7896658000409,Comprimido
Famox Comprimido,30 Unidades,20mg,"R$ 102,31",7896658000386,Comprimido
Famox Comprimido,53 mL,8mg/mL,R$ -,7896658048258,Pó para suspensão oral
Fenergan Comprimido,,,,7896070600447,
Flodin Duo,10 Unidades,150mg,"R$ 54,19",7892953001776,Comprimido de desintegração lenta
Flodin Duo,4 Unidades,150mg,"R$ 22,80",7892953001783,Comprimido de desintegração lenta
Flodin Duo,10 Unidades,150mg,"R$ 59,80",7892953001745,Comprimido de desintegração lenta
Flogoral Pastilha,12 Unidades,3mg,,7896658005466,Pastilha
Flogoral Pastilha,4 Unidades,3mg,,7896658012440,Pastilha
Flogoral Pastilha,12 Unidades,3mg,,7896658005459,Pastilha
Flogoral Pastilha,12 Unidades,3mg,,7896658005435,Pastilha
Flogoral Pastilha,12 Unidades,3mg,,7896658005442,Pastilha
Flogoral Pastilha,2 Unidades,3mg,,7896658007781,Pastilha
Flogoral Pastilha,8 Unidades,3mg,,7896658035791,Pastilha
Flogoral Pastilha,4 Unidades,3mg,,7896658034749,Pastilha
Frademicina,12 Unidades,500mg,R$ -,7891268102918,Comprimido
Frademicina,1 mL,300mg/mL,"R$ 14,05",7891268102956,Solução injetável
Frademicina,2 mL,300mg/mL,"R$ 23,18",7891268102932,Solução injetável
Fluimucil,5 g,40mg/g,R$ -,7898074616738,Granulado para solução oral
Fluimucil,16 Unidades,200mg,"R$ 57,06",7898074613430,Comprimido efervescente
Fluimucil,16 Unidades,600mg,"R$ 72,62",7898074617612,Comprimido efervescente
Fluimucil,120 mL,20mg/mL,"R$ 33,23",7898074617445,Xarope
Fluimucil,5 g,40mg/g,"R$ 63,98",7898074616714,Granulado para solução oral
Fluimucil,120 mL,40mg/mL,"R$ 46,50",7898074617438,Xarope
Fluimucil,5 g,20mg/g,"R$ 58,63",7898074616189,Granulado para solução oral
Fluimucil,5 g,600mg,"R$ 80,68",7898074617322,Granulado para solução oral
Fluimucil,60 Unidades,600mg,"R$ 143,98",7898074611276,Comprimido efervescente
Fluimucil,6 Unidades,600mg,"R$ 14,39",7898074614963,Comprimido efervescente
Fresh Tears,15 mL,5mg/mL,"R$ 76,03",7897316804964,Solução oftálmica (colírio)
Fresh Tears,10 mL,5mg/mL,"R$ 50,65",7897316804810,Solução oftálmica (colírio)
Fresh Tears,5 mL,5mg/mL,"R$ 25,34",7897316805541,Solução oftálmica (colírio)
Fresh Tears,15 mL,10mg/mL,"R$ 92,86",7897316805060,Solução oftálmica (colírio)
Flixonase,120 doses,50mcg/dose,"R$ 119,80",7896269901904,Suspensão nasal
Flixonase,60 doses,50mcg/dose,"R$ 76,95",7896269900907,Suspensão nasal
Farmorubicina RD,100 mL,2mg/mL,"R$ 1574,60",7891268102826,Solução injetável
Farmorubicina RD,25 mL,2mg/mL,"R$ 437,36",7891268102840,Solução injetável
Farmorubicina RD,5 mL,2mg/mL,"R$ 104,88",7891268102819,Solução injetável
Fludara,15 Unidades,10mg,"R$ 4278,95",7898328480351,Comprimido revestido
Fludara,5 Unidades,50mg,R$ -,7898328480337,Pó para solução injetável
Femoston Conti,,,,7896255766371,
Floxacin,14 Unidades,400mg,"R$ 43,53",7897337707008,Comprimido
Floxacin,6 Unidades,400mg,"R$ 21,32",7897337701518,Comprimido
Foraseq,40 Unidades,12mcg,R$ -,7896261007208,Cápsula de pó para inalação
