Name,Quantidade na embalagem,Dose,Preço,Codigos de Barras,Infos
Galvus Met,56 Unidades,50mg,"R$ 254,76",7896261016255,Comprimido revestido
Galvus Met,56 Unidades,50mg,"R$ 254,76",7896261016262,Comprimido revestido
Galvus Met,14 Unidades,50mg,"R$ 63,66",7896261017146,Comprimido revestido
Galvus Met,56 Unidades,50mg,"R$ 254,76",7896261016248,Comprimido revestido
Galvus Met,14 Unidades,50mg,"R$ 47,21",7896261017122,Comprimido revestido
Galvus Met,14 Unidades,50mg,"R$ 63,66",7896261017139,Comprimido revestido
Gino-Pletil,,,,7891268103519,
Guttalax,20 mL,7.5mg/mL,,7896026300148,Solução oral (gotas)
Guttalax,50 Unidades,2.5mg,,7896026301626,Granulado
Guttalax,30 mL,7.5mg/mL,,7891058021689,Solução oral (gotas)
Gemzar,50 mL,1g,,7896382700941,Pó para solução injetável
Gemzar,10 mL,200mg,,7896382700958,Pó para solução injetável
Glifage,30 Unidades,850mg,"R$ 39,79",7891721027437,Comprimido revestido
Glifage,30 Unidades,1g,"R$ 56,50",7891721044137,Comprimido revestido
Glifage,30 Unidades,500mg,"R$ 29,58",7891721000614,Comprimido revestido
Glifage,30 Unidades,750mg,"R$ 40,30",7891721027451,Comprimido de liberação prolongada
Glifage,30 Unidades,1g,"R$ 56,04",7891721022579,Comprimido de liberação prolongada
Glifage,10 Unidades,1g,"R$ 18,68",7891721022562,Comprimido de liberação prolongada
Glifage,10 Unidades,750mg,"R$ 13,41",7891721027444,Comprimido de liberação prolongada
Glifage,10 Unidades,500mg,"R$ 6,94",7891721013218,Comprimido revestido
Glifage,30 Unidades,850mg,"R$ 41,42",7891721201530,Comprimido de liberação prolongada
Glifage,10 Unidades,850mg,"R$ 13,81",7891721201547,Comprimido de liberação prolongada
Glifage,30 Unidades,500mg,R$ -,7891721201806,Comprimido de liberação prolongada
Glitisol,20 Unidades,500mg,,7898074612846,Cápsula gelatinosa mole
Glitisol,8 g,2.5g/g,,7898074612006,Granulado
Gonapeptyl Daily,,,,7896165600291,
Gyno-Icaden,1 Unidades,600mg,"R$ 114,46",7891106910163,Óvulo
Glucovance,30 Unidades,1.25mg,,7891721026621,Comprimido revestido
Glucovance,30 Unidades,5mg,,7891721026607,Comprimido revestido
Glucovance,10 Unidades,5mg,,7891721025839,Comprimido revestido
Glucovance,30 Unidades,2.5mg,,7891721026652,Comprimido revestido
Glucovance,30 Unidades,5mg,,7891721026614,Comprimido revestido
Glucovance,10 Unidades,2.5mg,,7891721016639,Comprimido revestido
Gyno-Fungix,,,,7896212479818,
Garamicina Injetável,2 mL,40mg/mL,,7891142153180,Solução injetável
Garamicina Injetável,1 mL,40mg/mL,,7891142153135,Solução injetável
Garamicina Injetável,2 mL,160mg,,7891142153227,Solução injetável
Garamicina Injetável,1 mL,20mg/mL,,7891142153166,Solução injetável
Garamicina Injetável,1.5 mL,120mg,,7891142153234,Solução injetável
Garamicina Injetável,1.5 mL,60mg,,7891142153258,Solução injetável
Garamicina Injetável,2 mL,280mg,,7891142153203,Solução injetável
Gracial,22 Unidades,0.25mg,,7897572000896,Comprimido revestido
Gracial,15 Unidades,0.125mg,,7897337716239,Comprimido
Glypressin,5 mL,1mg,,7896165600420,Pó para solução injetável
Glypressin,8.5 mL,0.1mg/mL,,7896165600789,Solução injetável
Glypressin,8.5 mL,0.1mg/mL,,7896165600895,Solução injetável
Galvus,28 Unidades,100mg,,7896261012950,Comprimido
Galvus,56 Unidades,50mg,,7896261012936,Comprimido
Galvus,28 Unidades,50mg,,7896261012929,Comprimido
Galvus,14 Unidades,50mg,,7896261012998,Comprimido
Gliocort,50 Unidades,500mg,,7898208147947,Pó para solução injetável
Gliocort,50 Unidades,100mg,,7898208147954,Pó para solução injetável
Gliocort,50 Unidades,100mg,,7899498608460,Pó para solução injetável
Gliocort,50 Unidades,500mg,,7899498608477,Pó para solução injetável
Gliocort,,100mg,,7899498609146,Pó para solução injetável
Gliocort,,500mg,,7899498609153,Pó para solução injetável
Gadovist,15 mL,604.72mg/mL,,7891106905046,Solução injetável
Gadovist,7.5 mL,604.72mg/mL,,7891106905039,Solução injetável
Gadovist,30 mL,604.72mg/mL,,7891106915946,Solução injetável
GenTeal,10 mL,3mg/mL,,7896261005624,Solução oftálmica (colírio)
GenTeal,10 g,nullmg/mL,,7896261009714,Gel
Glicerin,6 Unidades,0.828g,,7896004702742,Supositório
Glicerin,6 Unidades,2.392g,,7896004702735,Supositório
Glimepirida Accord Farma,10 Unidades,4mg,,7898902274093,Comprimido
Glimepirida Accord Farma,30 Unidades,1mg,,7898902274239,Comprimido
Glimepirida Accord Farma,30 Unidades,4mg,,7898902274253,Comprimido
Glimepirida Accord Farma,30 Unidades,2mg,,7898902274246,Comprimido
Glimepirida Accord Farma,10 Unidades,1mg,,7898902274079,Comprimido
Gob6,,,,7896112422716,
Gazyme,,,,7898158691316,
Gastrobion,,,,7896331702958,
Gemcit,5 mL,200mg,,7897595605245,Pó para solução injetável
Gemcit,25 mL,1g,,7897595605238,Pó para solução injetável
Gemcit,,40mg/mL,,7897595636775,Solução injetável
Gemcit,,40mg/mL,,7897595636782,Solução injetável
Genfibrozila Legrand,12 Unidades,900mg,,7894916140669,Comprimido revestido
Genfibrozila Legrand,24 Unidades,600mg,,7894916140799,Comprimido revestido
Genta-Gran,,,,7896004706283,
Gentamicin,1 mL,40mg/mL,,7898208141341,Solução injetável
Gentamicin,1 mL,20mg/mL,,7898208141334,Solução injetável
Gentamicin,2 mL,40mg/mL,,7898208141358,Solução injetável
Gentamicin,1 mL,20mg/mL,,7899498608583,Solução injetável
Gentamicin,1 mL,40mg/mL,,7899498608590,Solução injetável
Gentamicin,2 mL,40mg/mL,,7899498608606,Solução injetável
Gestrocon,,,,7896714203713,
Gingilone,,,,7897322702070,
Gamax,15 Unidades,980mg,,7896685300626,Cápsula gelatinosa mole
Gamax,30 Unidades,980mg,,7896685301234,Cápsula gelatinosa mole
Gelminex,,,,7897917001236,
Genfibrozila EMS,12 Unidades,900mg,,7896004709697,Comprimido revestido
Genfibrozila EMS,24 Unidades,600mg,,7896004709710,Comprimido revestido
Glibenclamida Biosintética - Aché,,,,7896181905509,
Gilenya,,,,7896261017559,
Glimepirida EMS,60 Unidades,4mg,,7896004731216,Comprimido
Glimepirida EMS,30 Unidades,1mg,,7896004711218,Comprimido
Glimepirida EMS,30 Unidades,4mg,,7896004711232,Comprimido
Glimepirida EMS,60 Unidades,2mg,,7896004736808,Comprimido
Glimepirida EMS,30 Unidades,2mg,,7896004711225,Comprimido
Gamibetal,30 Unidades,300mg,,7898146822838,Cápsula gelatinosa dura
Gamibetal,30 Unidades,400mg,,7898146822852,Cápsula gelatinosa dura
Ganciclotrat,,,,7896006206569,
Gastrobene,,,,7896004727974,
Gastroflat,10 mL,75mg/mL,"R$ 11,97",7893353102124,Emulsão oral (gotas)
Gastroflat,20 Unidades,40mg,"R$ 16,66",7893353602112,Comprimido
Glibeneck,30 Unidades,5mg,,7898075310376,Comprimido
Glibeneck,500 Unidades,5mg,,7898075312288,Comprimido
Gliconil,30 Unidades,5mg,,7896862910556,Comprimido
Gliconil,30 Unidades,5mg,,7896862917616,Comprimido
Glimepibal,30 Unidades,1mg,,7897851220137,Comprimido
Glimepibal,30 Unidades,2mg,,7897851220144,Comprimido
Glimepibal,30 Unidades,4mg,,7897851220151,Comprimido
