Name,Quantidade na embalagem,Dose,Preço,Codigos de Barras,Infos
Haldol,20 Unidades,5mg,"R$ 16,80",7896212479603,Comprimido
Haldol,30 mL,2mg/mL,"R$ 19,56",7896212420629,Solução oral (gotas)
Haldol,20 Unidades,1mg,"R$ 8,76",7896212479054,Comprimido
Haldol,1 mL,5mg/mL,"R$ 33,16",7896212429288,Solução injetável
Hycamtin,4 g,4mg/g,R$ -,7896015534905,Solução injetável
Hycamtin,10 Unidades,0.25mg,R$ -,7896015520328,Cápsula gelatinosa dura
Hycamtin,10 Unidades,1mg,R$ -,7896015520335,Cápsula gelatinosa dura
Hycamtin,1 Unidades,4mg,"R$ 2021,90",7896261020719,Solução injetável
Hyzaar,30 Unidades,12.5mg,,7897337709354,Comprimido revestido
Hyzaar,30 Unidades,25mg,,7897337707404,Comprimido revestido
Hyzaar,15 Unidades,25mg,,7897337708524,Comprimido revestido
Hyzaar,15 Unidades,12.5mg,,7897337708517,Comprimido revestido
Hydrea,,,,7896016800696,
Hydergine,36 Unidades,1mg,"R$ 62,72",7896261001732,Cápsula gelatinosa dura
Hydergine,30 mL,1mg/mL,"R$ 45,92",7896261001749,Solução oral
Hydergine,14 Unidades,4.5mg,"R$ 83,07",7896409700213,Comprimido
Hydergine,28 Unidades,6mg,"R$ 162,89",7896261003224,Cápsula dura de liberação prolongada
Hydergine,14 Unidades,6mg,"R$ 83,50",7896261001718,Cápsula dura de liberação prolongada
Hidantal Comprimido,,,,7896185909084,
Higroton,14 Unidades,25mg,R$ -,7896261018549,Comprimido
Higroton,14 Unidades,12.5mg,R$ -,7896261017016,Comprimido
Higroton,42 Unidades,25mg,"R$ 28,27",7896261000285,Comprimido
Higroton,42 Unidades,12.5mg,"R$ 16,19",7896261000506,Comprimido
Higroton,28 Unidades,50mg,"R$ 28,55",7896261000513,Comprimido
Hyperium,15 Unidades,1mg,"R$ 51,62",7898029552562,Comprimido
Hyperium,30 Unidades,1mg,"R$ 139,79",7898029552548,Comprimido
Hemogenin,,,,7896185944719,
Humectol D,,,,7891104193353,
Hexomedine,,,,7891058018382,
Hytrin,,,,7891158024979,
Hemifumarato de Quetiapina Biosintética - Aché,30 Unidades,200mg,"R$ 802,74",7896181920366,Comprimido revestido
Hemifumarato de Quetiapina Biosintética - Aché,30 Unidades,100mg,"R$ 446,26",7896181920328,Comprimido revestido
Hemifumarato de Quetiapina Biosintética - Aché,15 Unidades,25mg,"R$ 67,04",7896181920274,Comprimido revestido
Hemifumarato de Quetiapina Biosintética - Aché,30 Unidades,25mg,"R$ 134,07",7896658035371,Comprimido revestido
