Name,Quantidade na embalagem,Dose,Preço,Codigos de Barras,Infos
Inderal,20 Unidades,80mg,"R$ 12,57",7896206400286,Comprimido
Inderal,20 Unidades,40mg,"R$ 9,51",7896206400279,Comprimido
Inderal,24 Unidades,10mg,"R$ 7,76",7896206400262,Comprimido
Inderal,30 Unidades,10mg,"R$ 9,68",7896206407711,Comprimido
Inderal,60 Unidades,10mg,"R$ 19,34",7896206407728,Comprimido
Inderal,30 Unidades,40mg,"R$ 14,28",7896206407735,Comprimido
Inderal,60 Unidades,40mg,"R$ 28,53",7896206401142,Comprimido
Inderal,30 Unidades,80mg,"R$ 18,84",7896206407759,Comprimido
Inderal,60 Unidades,80mg,"R$ 37,66",7896206407766,Comprimido
Imosec,4 Unidades,2mg,,7896212469468,Comprimido
Imosec,12 Unidades,2mg,,7896212478750,Comprimido
Imovane,,,,7896070602403,
Ionil T,,,,7896181903192,
Invega,28 Unidades,3mg,,7896212422067,Comprimido revestido de liberação prolongada
Invega,28 Unidades,6mg,,7896212422098,Comprimido revestido de liberação prolongada
Invega,28 Unidades,9mg,,7896212422128,Comprimido revestido de liberação prolongada
Invega,7 Unidades,3mg,,7896212425606,Comprimido revestido de liberação prolongada
Invega,7 Unidades,6mg,,7896212425613,Comprimido revestido de liberação prolongada
Imuran,50 Unidades,50mg,,7895858010362,Comprimido revestido
Imuran,100 Unidades,50mg,,7895858010379,Comprimido revestido
Imigran,2 Unidades,100mg,,7896269900532,Comprimido revestido
Imigran,2 Unidades,50mg,,7896269900853,Comprimido revestido
Isotrex,30 g,0.5mg/g,,7896251801298,Gel
Isotrex,30 g,0.5mg/g,,7896251801861,Creme dermatológico
Implanon NXT,,,,7897572004054,
Isotrexin,,,,7896251801991,
Isofarma Solução de Fosfato de Potássio,10 mL,nullmg/mL,,7898361700567,Solução injetável
Isofarma Solução de Fosfato de Potássio,10 mL,0.03g/mL,,7898361700560,Solução injetável
Indapamida EMS,30 Unidades,1.5mg,,7896004728827,Comprimido revestido de liberação prolongada
Indapamida EMS,60 Unidades,1.5mg,,7896004793719,Comprimido revestido de liberação prolongada
Ibuflex Cápsula,8 Unidades,400mg,,7896004732930,Cápsula gelatinosa mole
Ibuflex Cápsula,4 Unidades,400mg,,7896004747507,Cápsula gelatinosa mole
Ibuprofeno Comprimido Cimed,,,,7896523210612,
Ibuprofeno Germed Pharma,100 mL,20mg/mL,,7896004726120,Suspensão oral
Ibuprofeno Germed Pharma,10 Unidades,400mg,,7896004725260,Comprimido revestido
Ibuprofeno Germed Pharma,30 mL,50mg/mL,,7896004725789,Suspensão oral (gotas)
Ibuprofeno Germed Pharma,20 mL,100mg/mL,,7896004727226,Suspensão oral (gotas)
Ibuprofeno Comprimido EMS,20 Unidades,300mg,,7896004723464,Comprimido revestido
Ibuprofeno Comprimido EMS,20 Unidades,200mg,,7896004713526,Comprimido revestido
Ibuliv Cápsula,8 Unidades,400mg,,7896004746012,Cápsula gelatinosa mole
Ibuliv Cápsula,40 Unidades,400mg,,7896004746029,Cápsula gelatinosa mole
Ibuliv Cápsula,50 Unidades,400mg,,7896004760490,Cápsula gelatinosa mole
Ibuliv Cápsula,20 Unidades,400mg,,7896004779805,Cápsula mole
Ibuprofeno Gotas Geolab,120 mL,20mg/mL,,7899095215894,Suspensão oral
Ibuprofeno Gotas Geolab,30 mL,100mg/mL,,7899095215986,Suspensão oral (gotas)
Ibuprofeno Gotas Geolab,120 mL,20mg/mL,,7899095217256,Suspensão oral
Ibuprofeno Gotas Geolab,100 mL,20mg/mL,,7899095243385,Suspensão oral
Ibuprofeno Gotas Geolab,100 mL,20mg/mL,,7899095243392,Suspensão oral
Ibuprofeno Gotas Geolab,30 mL,50mg/mL,,7899095233546,Suspensão oral (gotas)
Ibuprofeno Gotas Geolab,20 mL,100mg/mL,,7899095236400,Suspensão oral (gotas)
Ibuprofeno Gotas Geolab,120 mL,20mg/mL,,7899095205369,Suspensão oral
Ibuprofeno Gotas Geolab,30 mL,50mg/mL,,7899095213364,Suspensão oral (gotas)
Ibuprofeno Gotas Geolab,20 mL,100mg/mL,,7899095215962,Suspensão oral (gotas)
Ibuprofeno Gotas Geolab,30 mL,100mg/mL,,7899095236417,Suspensão oral (gotas)
Ibuprofeno Gotas Geolab,120 mL,20mg/mL,,7899095238336,Suspensão oral
Ibuprofeno Gotas Geolab,100 mL,20mg/mL,,7899095243347,Suspensão oral
Ibuprofeno Gotas Geolab,100 mL,20mg/mL,,7899095243354,Suspensão oral
Ibuprofeno Gotas Geolab,20 mL,50mg/mL,,7899095260481,Suspensão oral (gotas)
Iguassina,,,,7898074611054,
Ilaris,1 mL,150mg,,7896261016286,Pó para solução injetável
Ilaris,,150mg/mL,,7896261020535,Solução injetável
Imussuprex,,,,7894916501422,
Ibuprofeno Biosintética - Aché,20 mL,100mg/mL,,7896181919698,Suspensão oral (gotas)
Ibuprofeno Biosintética - Aché,30 mL,50mg/mL,,7896181914006,Suspensão oral (gotas)
Ida,10 mL,nullmg/mL,,,Solução injetável
Ibuprofan,,,,7893353608312,
Incoril,30 Unidades,240mg,,7898906376212,Comprimido revestido
Incoril,30 Unidades,90mg,,7898906376182,Comprimido revestido
Incoril,30 Unidades,120mg,,7898906376199,Comprimido revestido
Incoril,30 Unidades,180mg,,7898906376205,Comprimido revestido
Indapen SR,30 Unidades,1.5mg,,,Comprimido revestido de liberação prolongada
Indatrat SR,,,,7896004728957,
Ibupril Comprimido,200 Unidades,600mg,,7896112158370,Comprimido
Ibupril Comprimido,100 Unidades,300mg,,7896112146599,Comprimido
Ibupril Comprimido,20 Unidades,600mg,,7896112158363,Comprimido
Ibupril Comprimido,20 Unidades,300mg,,7896112140931,Comprimido
Ibupril Comprimido,10 Unidades,400mg,,7896112135371,Comprimido revestido
Ibuprofeno Comprimido Prati-Donaduzzi,500 Unidades,600mg,,7898148295173,Comprimido revestido
Ibuprofeno Comprimido Prati-Donaduzzi,20 Unidades,200mg,,7899547506075,Comprimido revestido
Ibuprofeno Comprimido Prati-Donaduzzi,400 Unidades,200mg,,7899547506082,Comprimido revestido
Ibuprofeno Comprimido Prati-Donaduzzi,160 Unidades,200mg,,7899547506853,Comprimido revestido
Ibuprofeno Comprimido Prati-Donaduzzi,200 Unidades,200mg,,7899547506860,Comprimido revestido
Ibuprofeno Comprimido Prati-Donaduzzi,280 Unidades,200mg,,7899547506877,Comprimido revestido
Ibuprofeno Comprimido Prati-Donaduzzi,320 Unidades,200mg,,7899547506884,Comprimido revestido
Ibuprofeno Comprimido Prati-Donaduzzi,500 Unidades,400mg,,7899547512823,Comprimido revestido
Ibuprofeno Comprimido Prati-Donaduzzi,20 Unidades,600mg,,7898148295159,Comprimido revestido
Ibuprofeno Comprimido Prati-Donaduzzi,10 Unidades,600mg,,7899547506839,Comprimido revestido
Ibuprofeno Comprimido Prati-Donaduzzi,30 Unidades,600mg,,7899547528619,Comprimido revestido
Ibuprofeno Comprimido Prati-Donaduzzi,10 Unidades,400mg,,7899547512748,Comprimido revestido
Ibuprofeno Comprimido Prati-Donaduzzi,200 Unidades,600mg,,7898148295166,Comprimido revestido
Imunoglucan,5 mL,nullmg/mL,,7896685301241,Suspensão injetável
Imunoglucan,150 mL,10mg,,7896685303450,Suspensão oral
Infladex,10 Unidades,100mg,,7896004724782,Comprimido revestido de liberação prolongada
Infladex,20 Unidades,100mg,,7896004731063,Comprimido revestido de liberação prolongada
Imicil,,,,7896006232155,
Incivo,,,,7896212424344,
Ibuprofeno Legrand,30 mL,50mg/mL,,7894916145480,Suspensão oral (gotas)
Ibuprofeno Legrand,20 mL,100mg/mL,,7894916145688,Suspensão oral (gotas)
Ibuprofeno Suspensão Oral Medquímica,20 mL,100mg/mL,,7896862917364,Suspensão oral (gotas)
Ibuprofeno Suspensão Oral Medquímica,30 mL,50mg/mL,,7896862917555,Suspensão oral (gotas)
Ibuprofeno Suspensão Oral Medquímica,30 mL,50mg/mL,,7896862917654,Suspensão oral (gotas)
Ibuprofeno Suspensão Oral Medquímica,30 mL,50mg/mL,,7896862917678,Suspensão oral (gotas)
Ibuprofeno Suspensão Oral Medquímica,20 mL,100mg/mL,,7896862917821,Suspensão oral (gotas)
Ibuprofeno Suspensão Oral Medquímica,20 mL,100mg/mL,,7896862917944,Suspensão oral (gotas)
Ibuprofeno Suspensão Oral Medquímica,30 mL,50mg/mL,,7896862960070,Suspensão oral (gotas)
Ibuprofeno Suspensão Oral Medquímica,20 mL,100mg/mL,,7896862960087,Suspensão oral (gotas)
Imunoglobulin,20 mL,50mg/mL,,7896014653904,Solução injetável
Imunoglobulin,50 mL,50mg/mL,,7896014653508,Solução injetável
Imunoglobulin,100 mL,50mg/mL,,7896014653706,Solução injetável
Imunoglobulin,10 mL,50mg/mL,,7896014653409,Solução injetável
Imunoglobulin,100 mL,50mg/mL,,7896014653270,Solução injetável
Imunoglobulin,50 mL,50mg/mL,,7896014653188,Solução injetável
Imunoglobulin,10 mL,50mg/mL,,7896014653126,Solução injetável
Imunoglobulin,10 mL,50mg/mL,,7896014653133,Solução injetável
Imunoglobulin,10 mL,50mg/mL,,7896014653140,Solução injetável
Imunoglobulin,20 mL,50mg/mL,,7896014653157,Solução injetável
Imunoglobulin,20 mL,50mg/mL,,7896014653164,Solução injetável
Imunoglobulin,20 mL,50mg/mL,,7896014653171,Solução injetável
Imunoglobulin,50 mL,50mg/mL,,7896014653225,Solução injetável
Imunoglobulin,50 mL,50mg/mL,,7896014653232,Solução injetável
Imunoglobulin,60 mL,50mg/mL,,7896014653249,Solução injetável
Imunoglobulin,60 mL,50mg/mL,,7896014653256,Solução injetável
Imunoglobulin,60 mL,50mg/mL,,7896014653263,Solução injetável
Imunoglobulin,100 mL,50mg/mL,,7896014653324,Solução injetável
Imunoglobulin,200 mL,50mg/mL,,7896014653331,Solução injetável
Imunoglobulin,200 mL,50mg/mL,,7896014653348,Solução injetável
Imunoglobulin,200 mL,50mg/mL,,7896014653355,Solução injetável
Imunoglobulin,100 mL,50mg/mL,,7896014653287,Solução injetável
Inflalid,15 mL,50mg/mL,"R$ 37,81",7896004714769,Suspensão oral (gotas)
Inflalid,12 Unidades,100mg,"R$ 37,81",7896004715728,Comprimido
Ibuprofeno Gotas Medley,30 mL,50mg/mL,,7896422519793,Suspensão oral (gotas)
Ibuprofeno Gotas Medley,20 mL,100mg/mL,,7896422519830,Suspensão oral (gotas)
Ibuprofeno Comprimido Neo Química,,,,7896714211275,
Imipra,200 Unidades,25mg,,7896676403350,Comprimido revestido
Imipra,20 Unidades,25mg,,7896676401998,Comprimido revestido
Imipra,60 Unidades,25mg,,7896676442816,Comprimido revestido
Imipra,90 Unidades,25Unidades,,7896676442823,Comprimido revestido
Ibufran Cápsula,30 mL,50mg/mL,,7896714226385,Suspensão oral (gotas)
Ibufran Cápsula,8 Unidades,400mg,,7896714250052,Cápsula gelatinosa mole
Ibufran Cápsula,36 Unidades,400mg,,7896714250090,Cápsula gelatinosa mole
Ibufran Cápsula,20 Unidades,600mg,,7896714248028,Cápsula gelatinosa
Ibufran Cápsula,30 Unidades,600mg,,7896714248035,Cápsula gelatinosa
Ibufran Cápsula,8 Unidades,400mg,,7896714274805,Cápsula mole
Ibufran Cápsula,20 Unidades,400mg,,7896714291468,Cápsula mole
Ibuprofeno Nova Química,30 mL,50mg/mL,,7895296047029,Suspensão oral (gotas)
Ibuprofeno Nova Química,20 mL,100mg/mL,,7895296038010,Suspensão oral (gotas)
Ibuvix Comprimido,100 Unidades,200mg,,7899095216587,Comprimido
Ibuvix Comprimido,200 Unidades,200mg,,7899095216594,Comprimido
Ibuvix Comprimido,500 Unidades,200mg,,7899095216600,Comprimido
Ibuvix Comprimido,10 Unidades,200mg,,7899095222199,Comprimido
Ibuvix Comprimido,20 Unidades,200mg,,7899095222229,Comprimido
Ibuvix Comprimido,30 Unidades,200mg,,7899095222250,Comprimido
Ibuvix Comprimido,100 Unidades,200mg,,7899095222281,Comprimido
Ibuvix Comprimido,200 Unidades,200mg,,7899095222304,Comprimido
Ibuvix Comprimido,200 Unidades,600mg,,7899095244108,Comprimido revestido
Ibuvix Comprimido,500 Unidades,600mg,,7899095244115,Comprimido revestido
Ibuvix Comprimido,30 Unidades,300mg,,7899095222267,Comprimido
Ibuvix Comprimido,10 Unidades,400mg,,7899095222182,Comprimido
Ibuvix Comprimido,20 Unidades,300mg,,7899095222236,Comprimido
Ibuvix Comprimido,20 Unidades,600mg,,7899095244085,Comprimido revestido
Ibuvix Comprimido,10 Unidades,600mg,,7899095244092,Comprimido revestido
Ibuvix Comprimido,100 Unidades,300mg,,7899095216617,Comprimido
Ibuvix Comprimido,200 Unidades,300mg,,7899095216624,Comprimido
Ibuvix Comprimido,500 Unidades,300mg,,7899095216631,Comprimido
Ibuvix Comprimido,100 Unidades,400mg,,7899095216648,Comprimido
Ibuvix Comprimido,200 Unidades,400mg,,7899095216655,Comprimido
Ibuvix Comprimido,500 Unidades,400mg,,7899095216662,Comprimido
Ibuvix Comprimido,30 Unidades,300mg,,7899095222205,Comprimido
Ibuvix Comprimido,20 Unidades,400mg,,7899095222212,Comprimido
Ibuvix Comprimido,30 Unidades,400mg,,7899095222243,Comprimido
Ibuvix Comprimido,100 Unidades,400mg,,7899095222274,Comprimido
Ibuvix Comprimido,100 Unidades,300mg,,7899095222298,Comprimido
Ibuvix Comprimido,200 Unidades,400mg,,7899095222311,Comprimido
Ibuvix Comprimido,4 Unidades,600mg,,7899095244061,Comprimido revestido
Ibuvix Comprimido,10 Unidades,600mg,,7899095244078,Comprimido revestido
Icacort,,,,,
Ionclor,150 mL,60mg/mL,,7898148294800,Solução oral
Ionclor,100 mL,60mg/mL,,7898148294794,Solução oral
Iumi,24 Unidades,3mg,,7896094208674,Comprimido revestido
Iumi,72 Unidades,3mg,,7896094208094,Comprimido revestido
Ivermec,4 Unidades,6mg,,7897655401817,Comprimido
Ivermec,2 Unidades,6mg,,7897655401800,Comprimido
Ivermec,80 Unidades,6mg,,7897655405549,Comprimido
Inip,30 Unidades,150mg,,7896004732985,Comprimido revestido de liberação prolongada
Inip,10 Unidades,150mg,,7896004746906,Comprimido revestido de liberação prolongada
Irbesartana + Hidroclorotiazida Eurofarma - Momenta,30 Unidades,150mg,,7891317488352,Comprimido
Irbesartana + Hidroclorotiazida Eurofarma - Momenta,30 Unidades,300mg,,7891317488390,Comprimido
Iruxol Mono,30 g,1.2U/g,,7896255764506,Pomada dermatológica
Iruxol Mono,15 g,1.2U/g,,7896255765619,Pomada dermatológica
Iruxol Mono,30 g,1.2U/g,,7896255763172,Pomada dermatológica
Iodex,,,,7896004817590,
Intestin,12 Unidades,2mg,"R$ 11,30",7898060132297,Comprimido
Intestin,4 Unidades,2mg,R$ -,7898060132655,Comprimido revestido
Ipraneo,20 mL,0.25mg/mL,,7896714218304,Solução para inalação
Ipraneo,20 mL,0.25mg/mL,,7896714270234,Solução para inalação
Isoflurano BioChimico,240 mL,1mL/mL,,7897406113075,Solução para inalação
Isoflurano BioChimico,100 mL,1mL/mL,,7897406113068,Solução para inalação
Isotretinoína Nova Química,30 Unidades,20mg,,7895296043069,Cápsula gelatinosa mole
Isotretinoína Nova Química,30 Unidades,10mg,,7895296043021,Cápsula gelatinosa mole
Ibuprotrat,30 mL,50mg/mL,,7898133134234,Suspensão oral (gotas)
Ibuprotrat,100 mL,20mg/mL,,7898133134760,Suspensão oral
Ibuprotrat,30 mL,50mg/mL,,7898133133169,Suspensão oral (gotas)
Ibuprotrat,100 mL,20mg/mL,,7898133134791,Suspensão oral
Imoxy,0.25 g,50mg/g,,7896422517188,Creme dermatológico
Imoxy,0.25 g,50mg/g,,7896422517171,Creme dermatológico
Indapamida Germed Pharma,,,,7896004728834,
Iodenax,,,,7898133130281,
Iressa,,,,7896206402457,
Iskemil,,,,7896658002328,
Ivermectina Vitamedic,2 Unidades,6mg,,7898049792351,Comprimido
Ivermectina Vitamedic,500 Unidades,6mg,,7898049793532,Comprimido
Ivermectina Vitamedic,4 Unidades,6mg,,7898049793310,Comprimido
Ivermectina Vitamedic,8 Unidades,6mg,,7898700413748,Comprimido
Ivermectina Neo Química,4 Unidades,6mg,,7896714275208,Comprimido
Ivermectina Neo Química,2 Unidades,6mg,,7896714212678,Comprimido
Izonax Comprimido,100 mL,20mg/g,,7898216364022,Shampoo
Izonax Comprimido,30 Unidades,200mg,,7898216361380,Comprimido
Izonax Comprimido,10 Unidades,200mg,,7898216361373,Comprimido
Inflamene,10 mL,9mg/mL,"R$ 19,70",7896672201684,Solução oral (gotas)
Inflamene,8 Unidades,20mg,R$ -,7896672201677,Cápsula
Inflamene,15 Unidades,20mg,R$ -,7896672201592,Cápsula
Inflamene,10 Unidades,30mg,R$ -,7896672201639,Supositório
Invanz,20 mL,1g,,7897337700306,Pó para solução injetável
Invanz,,1g,,7897572020160,Pó para solução injetável
