Name,Quantidade na embalagem,Dose,Preço,Codigos de Barras,Infos
Jumexil,30 Unidades,10mg,R$ -,7896672202049,Drágea
Jumexil,20 Unidades,5mg,"R$ 56,96",7896672201783,Comprimido
Jumexil,50 Unidades,5mg,"R$ 142,39",7896672203459,Comprimido
Janumet,28 Unidades,50mg,,7897337708159,Comprimido revestido
Janumet,28 Unidades,50mg,,7897337708173,Comprimido revestido
Janumet,56 Unidades,50mg,,7897337708180,Comprimido revestido
Janumet,56 Unidades,50mg,,7897337708166,Comprimido revestido
Janumet,56 Unidades,50mg,,7897337708203,Comprimido revestido
Janumet,28 Unidades,50mg,,7897337708197,Comprimido revestido
Januvia,28 Unidades,100mg,,7897572020290,Comprimido revestido
Januvia,28 Unidades,50mg,,7897337706605,Comprimido revestido
Januvia,28 Unidades,25mg,,7897337706711,Comprimido revestido
Januvia,14 Unidades,100mg,,7897337706698,Comprimido revestido
Jalra Met,14 Unidades,50mg,,7891721023637,Comprimido revestido
Jalra Met,56 Unidades,50mg,,7891721023668,Comprimido revestido
Jalra Met,14 Unidades,5mg,,7891721023774,Comprimido revestido
Jalra Met,56 Unidades,50mg,,7891721023804,Comprimido revestido
Jalra Met,14 Unidades,50mg,,7891721023873,Comprimido revestido
Jalra Met,56 Unidades,1000mg,,7891721023903,Comprimido revestido
Jurnista,30 Unidades,32mg,,7896212423637,Comprimido revestido de liberação prolongada
Jurnista,30 Unidades,16mg,,7896212423620,Comprimido revestido de liberação prolongada
Jurnista,30 Unidades,8mg,,7896212423613,Comprimido revestido de liberação prolongada
Jalra,14 Unidades,50mg,,7891721023729,Comprimido
Jalra,28 Unidades,50mg,,7891721023736,Comprimido
Jalra,56 Unidades,50mg,,7891721023743,Comprimido
Juliet,28 Unidades,0.075mg,,7897595620385,Comprimido revestido
Juliet,84 Unidades,0.075mg,,7897595625540,Comprimido revestido
Jevtana,,,,7891058012946,
Javlor,4 mL,25mg/mL,,7896290402210,Solução injetável
Javlor,2 mL,25mg/mL,,7893290402203,Solução injetável
Javlor,10 mL,25mg/mL,,7896290402197,Solução injetável
Jardiance,10 Unidades,10mg,,7896026306638,Comprimido revestido
Jardiance,30 Unidades,10mg,,7896026306416,Comprimido revestido
Jardiance,10 Unidades,25mg,,7896026306171,Comprimido revestido
Jardiance,30 Unidades,25mg,,7896026306188,Comprimido revestido
Janumet XR,20 Unidades,50mg,,7897337711050,Comprimido revestido de liberação prolongada
Janumet XR,10 Unidades,1000mg,,7897572020245,Comprimido revestido de liberação prolongada
Janumet XR,20 Unidades,1000mg,,7897572020221,Comprimido revestido de liberação prolongada
Janumet XR,60 Unidades,500mg,,7897572020269,Comprimido revestido de liberação prolongada
Janumet XR,30 Unidades,1000mg,,7897572020252,Comprimido revestido de liberação prolongada
Janumet XR,60 Unidades,1000mg,,7897572020238,Comprimido revestido de liberação prolongada
Jetrea,,,,7896548199596,
JP Fisiológico,1000 mL,9mg/mL,,7896137607419,Solução injetável
JP Fisiológico,500 mL,9mg/mL,,7896137607426,Solução injetável
JP Fisiológico,1000 mL,9mg/mL,,7896137650415,Solução injetável
JP Fisiológico,500 mL,9mg/mL,,7896137650422,Solução injetável
JP Fisiológico,250 mL,9mg/mL,,7896137650439,Solução injetável
JP Fisiológico,100 mL,9mg/mL,,7896137650453,Solução injetável
Jakavi,60 Unidades,15mg,,7896261018631,Comprimido revestido
Jakavi,60 Unidades,20mg,,7896261018648,Comprimido
Jakavi,60 Unidades,5mg,,7896261018624,Comprimido
Jakavi,60 Unidades,10mg,,7896261020399,Comprimido
Jofix,10 Unidades,4mg,,7899824400065,Comprimido orodispersível
Jofix,10 Unidades,8mg,,7899824400072,Comprimido orodispersível
Jaque,21 Unidades,2mg,,7896004761800,Comprimido revestido
Jaque,63 Unidades,2mg,,7896004786292,Comprimido revestido
Junno,30 Unidades,100mg,"R$ 83,02",7898040323899,Cápsula mole
Junno,14 Unidades,200mg,"R$ 77,54",7898040323905,Cápsula mole
Junno,42 Unidades,200mg,"R$ 232,64",7898040329440,Cápsula mole
Juneve,28 Unidades,30mg,,7898924769690,Cápsula dura
Juneve,28 Unidades,50mg,,7898924769706,Cápsula dura
Juneve,28 Unidades,70mg,,7898924769713,Cápsula dura
Jivi,2.5 mL,500UI,"R$ 1529,26",7891106914284,Pó para solução injetável
Jivi,2.5 mL,1000UI,"R$ 3104,91",7891106914291,Pó para solução injetável
Jivi,2.5 mL,2000UI,"R$ 6444,62",7891106914307,Pó para solução injetável
Jivi,2.5 mL,3000UI,"R$ 9666,92",7891106914314,Solução injetável
Jemperli,,,,7896015592691,
Jardiance Duo,60 Unidades,5mg,,7896026307789,Comprimido revestido
Jardiance Duo,60 Unidades,12.5mg,,7896026307741,Comprimido revestido
Jardiance Duo,60 Unidades,12.5mg,,7896026307758,Comprimido revestido
Jogger,30 Unidades,500mg,,7896658047039,Cápsula gelatinosa
Jogger,90 Unidades,500mg,,7896658047046,Cápsula gelatinosa
Jogger,4 g,1500mg,,7896658046957,Granulado
Jogger,4 g,1500mg,,7896658046728,Granulado
Jogger,10 Unidades,500mg,,7896658046711,Cápsula gelatinosa
Jolik,,,,7896094211728,
Jaypirce,,,,7896382709494,
Jaypirce,,,,7896382709500,
Jaypirce,,,,7896382709517,
