Name,Quantidade na embalagem,Dose,Preço,Codigos de Barras,Infos
Kytril,3 mL,1mg/mL,R$ -,7896226503264,Solução injetável
Kytril,1 mL,1mg/mL,R$ -,7896226503257,Solução injetável
Kytril,2 Unidades,1mg,R$ -,7896226503271,Comprimido revestido
Kytril,1 mL,1mg/mL,"R$ 126,75",7898605330294,Solução injetável
Kytril,3 mL,1mg/mL,"R$ 254,67",7898605330300,Solução injetável
Kwell,60 mL,10mg/g,"R$ 25,08",7896009490545,Loção capilar
Kwell,60 mL,10mg/g,"R$ 41,14",7895858016814,Emulsão dermatológica
Keflin Neutro,,,,7898901848011,
Keflaxina,8 Unidades,500mg,,7897595601384,Cápsula gelatinosa dura
Keflaxina,100 mL,50mg/mL,,7897595601391,Pó para suspensão oral
Klaricid,60 mL,25mg/mL,,7891158042430,Granulado para suspensão oral
Klaricid,60 mL,50mg/mL,,7891158042423,Granulado para suspensão oral
Klaricid,60 mL,50mg/mL,,7891158023262,Granulado para suspensão oral
Klaricid,60 mL,25mg/mL,,7891158025938,Granulado para suspensão oral
Klaricid,60 mL,125mg,,7891158040047,Granulado para suspensão oral
Kadcyla,1 Unidades,100mg,,7896226506487,Pó para solução injetável
Kadcyla,1 Unidades,160mg,,7896226506494,Pó para solução injetável
Kalloplast,4 Unidades,nullmg/mL,,7896094901360,Adesivo transdérmico
Kalloplast,5 mL,0.2g/mL,,7896094901322,Solução dermatológica (spray)
Keroxime,,750mg,,7898901848547,Pó para solução injetável
Keroxime,,750mg,,7898901848608,Pó para solução injetável
Kronel,60 g,undefinedmg/mL,,78966853014940,
Kronel,,undefinedmg/mL,,78966853013950,
Kronel,,undefinedmg/mL,,78966853027430,
Kronel,,0.67mL/g,,7896685300657,
Keltrina Plus,60 mL,50mg/mL,,7896472502745,Loção dermatológica
Keltrina Plus,60 mL,50mg/mL,,7896472504848,Loção dermatológica
Kalonat,,,,7898133134357,
Kitnos,,,,7891268104202,
Katrizan,10 g,5mg/g,,7898049792849,Pomada dermatológica
Katrizan,20 g,5mg/g,,7898049790555,Pomada dermatológica
Ketonazol Creme,10 Unidades,200mg,,7893353608411,Comprimido
Ketonazol Creme,30 g,20mg/g,,7893353142076,Creme dermatológico
Klimater,,,,7898505090250,
Koidexa,60 mL,0.1mg/mL,,7891317450595,Elixir
Koidexa,120 mL,0.1mg/mL,,7899640807147,Elixir
Koidexa,120 mL,0.1mg/mL,,7891317015084,Elixir
Kóide D,,,,7891317421434,
Kefazol,,,,7898901848028,
Kamillosan,20 g,20mg/g,,7896658004964,Creme dermatológico
Kamillosan,50 g,20mg/g,,7896658005060,Creme dermatológico
Kios,7 Unidades,640mg,,7896685301999,Comprimido revestido
Kios,28 Unidades,640mg,,7896685302026,Comprimido revestido
Kios,14 Unidades,640mg,,7896685302002,Comprimido revestido
Kios,60 Unidades,640mg,,7896685303320,Comprimido revestido
Kolevas,30 Unidades,10mg,,7896004729541,Comprimido revestido
Kolevas,30 Unidades,40mg,,7896004729565,Comprimido revestido
Kolevas,30 Unidades,20mg,,7896004729558,Comprimido revestido
Kalocar,,,,7897299900103,
Kefalomax,,,,7897406115581,
Klaricid UD,10 Unidades,500mg,,7891158028526,Comprimido de liberação prolongada
Klaricid UD,7 Unidades,500mg,,7891158038860,Comprimido de liberação prolongada
Klaritril,490 Unidades,500mg,,7898216365159,Comprimido revestido
Klaritril,14 Unidades,500mg,,7898216360680,Comprimido revestido
Karvil,30 Unidades,25mg,,,Comprimido
Kefadim,25 Unidades,1g,,7898901848189,Pó para solução injetável
Kefadim,50 Unidades,1g,,7898564760613,Pó para solução injetável
Kefadim,25 Unidades,1g,,7898901848912,Pó para solução injetável
Klimakt-Heel T,,,,7898908753233,
Kalyamon Kids,250 mL,,,7896212422562,Suspensão oral
Kalyamon Kids,250 mL,,,7896212400005,Suspensão oral
