Name,Quantidade na embalagem,Dose,Preço,Codigos de Barras,Infos
Lescol XL,,,,7896261005297,
Lexotan,20 Unidades,3mg,"R$ 28,80",7896226500164,Comprimido
Lexotan,20 Unidades,6mg,"R$ 48,62",7896226500171,Comprimido
Lexotan,30 Unidades,6mg,"R$ 67,34",7896226502205,Comprimido
Lexotan,30 Unidades,3mg,"R$ 40,10",7896226502199,Comprimido
Lexotan,20 mL,2.5mg/mL,"R$ 17,17",7896226503981,Solução oral (gotas)
Lopid,24 Unidades,600mg,"R$ 155,21",7891268119503,Comprimido revestido
Lopid,12 Unidades,900mg,"R$ 114,05",7891268119510,Comprimido revestido
Lopid,10 Unidades,900mg,"R$ 95,08",7891268117844,Comprimido revestido
Lopid,20 Unidades,900mg,"R$ 190,10",7891268117851,Comprimido revestido
Lopressor,,,,7896261000575,
Levitra,4 Unidades,10mg,R$ -,7891106904926,Comprimido orodispersível
Levitra,2 Unidades,10mg,R$ -,7891106005968,Comprimido revestido
Levitra,2 Unidades,10mg,R$ -,7891106904889,Comprimido orodispersível
Levitra,4 Unidades,10mg,R$ -,7891106005517,Comprimido revestido
Levitra,1 Unidades,10mg,R$ -,7891106904902,Comprimido orodispersível
Levitra,8 Unidades,20mg,"R$ 706,32",7891106006644,Comprimido revestido
Levitra,4 Unidades,5mg,"R$ 270,35",7891106911948,Comprimido revestido
Levitra,1 Unidades,10mg,"R$ 42,75",7891106005524,Comprimido revestido
Levitra,2 Unidades,20mg,"R$ 177,84",7891106005647,Comprimido revestido
Levitra,4 Unidades,20mg,"R$ 355,57",7891106005609,Comprimido revestido
Lumigan,5 mL,0.3mg/mL,"R$ 297,56",7897316805183,Solução oftálmica (colírio)
Lumigan,3 mL,0.3mg/mL,"R$ 198,35",7897316804179,Solução oftálmica (colírio)
Lumigan,5 mL,0.1mg/mL,"R$ 266,96",7897316805411,Solução oftálmica (colírio)
Lumigan,3 mL,0.1mg/mL,"R$ 160,21",7897316805404,Solução oftálmica (colírio)
Lamictal,30 Unidades,5mg,"R$ 34,71",7896015516840,Comprimido dispersível
Lamictal,30 Unidades,100mg,"R$ 608,03",7896015516826,Comprimido dispersível
Lamictal,30 Unidades,50mg,"R$ 347,37",7896015516819,Comprimido dispersível
Lamictal,30 Unidades,200mg,"R$ 1389,20",7896015516833,Comprimido dispersível
Lamictal,30 Unidades,25mg,"R$ 195,26",7896015516802,Comprimido dispersível
Lamictal,30 Unidades,100mg,"R$ 608,03",7896269901188,Comprimido
Lamictal,30 Unidades,50mg,"R$ 347,37",7896269901201,Comprimido
Lamictal,30 Unidades,25mg,"R$ 195,26",7896269901195,Comprimido
Libiam,28 Unidades,2.5mg,"R$ 107,75",7896094200920,Comprimido
Libiam,28 Unidades,1.25mg,"R$ 68,13",7896094201378,Comprimido revestido
Libiam,84 Unidades,1.25mg,"R$ 204,37",7896094211407,Comprimido
Libiam,84 Unidades,2.5mg,"R$ 323,26",7896094211391,Comprimido
Loprox,20 g,10mg/g,"R$ 65,80",7891058411039,Creme dermatológico
Loprox,15 mL,10mg/mL,"R$ 54,04",7891058410063,Solução dermatológica (spray)
Lacrima Plus,,,,7896548113059,
Lanexat,5 mL,0.1mg/mL,"R$ 1315,69",7896226501406,Solução injetável
Lamisilate,15 g,10mg/g,,7896261009745,Creme dermatológico
Lamisilate,30 mL,10mg/mL,,7896261003989,Solução dermatológica (spray)
Lamisilate,30 g,10mg/g,,7896261009011,Creme dermatológico
Lamisilate,4 g,10mg/g,,7896261012295,Solução dermatológica
Lipanon,30 Unidades,250mg,"R$ 139,29",7897322705415,Cápsula dura de liberação retardada
Lipanon,15 Unidades,250mg,"R$ 69,69",7897322704845,Cápsula dura de liberação retardada
Lipanon,10 Unidades,250mg,"R$ 31,70",7897322707693,Cápsula dura de liberação retardada
Lipanon,60 Unidades,250mg,"R$ 278,64",7896094917637,Cápsula dura de liberação retardada
Lorax,30 Unidades,2mg,"R$ 53,22",7891045008402,Comprimido
Lorax,30 Unidades,1mg,"R$ 37,57",7891045008396,Comprimido
Losec Mups,7 Unidades,40mg,R$ -,7896206401399,Comprimido revestido
Losec Mups,7 Unidades,20mg,R$ -,7896206401375,Comprimido revestido
Losec Mups,28 Unidades,20mg,R$ -,7896206407841,Comprimido revestido
Losec Mups,14 Unidades,10mg,"R$ 135,04",7896206401351,Comprimido revestido
Losec Mups,14 Unidades,20mg,"R$ 230,92",7896206401368,Comprimido revestido
Losec Mups,28 Unidades,10mg,"R$ 270,09",7896206407834,Comprimido revestido
Lactulona,15 mL,667mg/mL,,7897411600027,Xarope
Lactulona,120 mL,667mg/mL,,7897411610750,Xarope
Lactulona,120 mL,667mg/mL,,7897411610767,Xarope
Lactulona,15 mL,667mg/mL,,7897411600010,Xarope
Lactulona,120 mL,667mg/mL,,7897411650978,Xarope
Levaquin,100 mL,5mg/mL,,7896212426720,Solução injetável
Levaquin,10 Unidades,500mg,,7896212429035,Comprimido revestido
Levaquin,7 Unidades,500mg,,7896212426713,Comprimido revestido
Lioresal,,,,7896261000520,
Lasix,2 mL,10mg/mL,"R$ 14,58",7891058433086,Solução injetável
Lasix,20 Unidades,40mg,"R$ 25,02",7891058431037,Comprimido
Leponex,20 Unidades,25mg,R$ -,7896261002371,Comprimido
Leponex,30 Unidades,100mg,"R$ 293,67",7896261002388,Comprimido
Leponex,30 Unidades,25mg,"R$ 71,96",7898560663895,Comprimido
Loniten,,,,7891268104615,
Lopril-D,16 Unidades,50mg,R$ -,7896016802805,Comprimido
Lopril-D,30 Unidades,50mg,"R$ 104,54",7896016802812,Comprimido
Loceryl Creme,,,,7897930766082,
Leukeran,,,,7895858008208,
Lanvis,,,,7895858009366,
Lupron,2.8 mL,5mg/mL,R$ -,7891158000515,Solução injetável
Lidosporin,10 mL,43.4mg/mL,,7898040320904,Solução otológica
Lidosporin,10 mL,45.4mg/mL,,7898040324940,Solução otológica
Loteprol,,,,7896046300104,
Lisodren,,,,7896016800702,
Ladogal,50 Unidades,100mg,"R$ 275,98",7897595900180,Cápsula gelatinosa dura
Ladogal,30 Unidades,200mg,"R$ 326,63",7897595900203,Cápsula gelatinosa dura
Ladogal,50 Unidades,100mg,"R$ 275,98",7891317008475,Cápsula dura
Lotar,7 Unidades,5mg,"R$ 40,96",7896181917809,Cápsula gelatinosa dura
Lotar,30 Unidades,2.5mg,"R$ 168,69",7896181907497,Cápsula gelatinosa dura
Lotar,30 Unidades,5mg,"R$ 198,53",7896181908890,Cápsula gelatinosa dura
Lotar,30 Unidades,5mg,"R$ 175,72",7896181915072,Cápsula gelatinosa dura
Lotar,7 Unidades,2.5mg,"R$ 39,37",7896181917786,Cápsula gelatinosa dura
Lotar,7 Unidades,5mg,"R$ 46,26",7896181917793,Cápsula gelatinosa dura
Lotar,14 Unidades,5mg,R$ -,7896658052590,Cápsula gelatinosa dura
Lotar,14 Unidades,2.5mg,R$ -,7896658052576,Cápsula gelatinosa dura
Lotar,14 Unidades,5mg,R$ -,7896658052583,Cápsula gelatinosa dura
Lotensin,30 Unidades,5mg,R$ -,7896261000858,Comprimido revestido
Lotensin,14 Unidades,10mg,R$ -,7896261000599,Comprimido revestido
Lotensin,30 Unidades,10mg,"R$ 111,16",7896261000872,Comprimido revestido
Leustatin,10 mL,1mg/mL,R$ -,7896212417179,Solução injetável
Leustatin,10 mL,1mg/mL,R$ -,7896212400001,Solução injetável
Leustatin,8 mL,1mg/mL,"R$ 2108,18",7898968453050,Solução injetável
Locabiotal,,,,7898029555020,
Lotensin H,30 Unidades,12.5mg,"R$ 81,47",7896261000940,Comprimido revestido
Lotensin H,30 Unidades,6.25mg,"R$ 51,58",7896261000933,Comprimido revestido
Lacipil,,,,7896269900563,
Lanzacor,490 Unidades,50mg,,7896714218472,Comprimido revestido
Lanzacor,14 Unidades,50mg,,7896714203614,Comprimido revestido
Lanzacor,28 Unidades,50mg,,7896714203607,Comprimido revestido
Lanzacor,30 Unidades,50mg,,7896714249346,Comprimido revestido
Lacril,,,,7897316800188,
Lactrex,60 g,120mg/g,R$ -,7897930760219,Creme dermatológico
Lactrex,120 mL,120mg/g,"R$ 54,82",7897930760226,Loção dermatológica
Lasilactona,,,,7891058439019,
Léptico,60 Unidades,100mg,"R$ 237,90",7891317473402,Comprimido
Léptico,60 Unidades,50mg,"R$ 142,54",7891317473372,Comprimido
Léptico,60 Unidades,25mg,"R$ 86,39",7891317473341,Comprimido
Léptico,30 Unidades,25mg,"R$ 30,48",7891317473334,Comprimido
Léptico,30 Unidades,50mg,"R$ 50,31",7891317473365,Comprimido
Léptico,30 Unidades,100mg,"R$ 83,93",7891317473396,Comprimido
Lizzy,24 Unidades,0.06mg,,7897595620705,Comprimido revestido
Lizzy,72 Unidades,0.06mg,,7897595614025,Comprimido revestido
Lombalgina,,,,7896714222400,
Lonipril,,,,7899095201538,
Loratadina Teuto,,,,7896112126461,
Loratadina Cimed,100 mL,1mg/mL,"R$ 33,65",7896523207704,Xarope
Loratadina Cimed,12 Unidades,10mg,"R$ 20,24",7896523227573,Comprimido
Loratadina Ranbaxy,,,,7897076906786,
Lorazepam Ranbaxy,30 Unidades,2mg,,7897076908032,Comprimido
Lorazepam Ranbaxy,20 Unidades,2mg,,7897076908025,Comprimido
Lamoctril,,,,7896112153634,
Lanogastro,14 Unidades,30mg,,7896112143413,Cápsula gelatinosa dura com microgrânulos de liberação retardada
Lanogastro,28 Unidades,30mg,,7896112136149,Cápsula gelatinosa dura com microgrânulos de liberação retardada
Lanogastro,7 Unidades,30mg,,7896112143406,Cápsula gelatinosa dura com microgrânulos de liberação retardada
Lansoprazol Germed Pharma,14 Unidades,15mg,"R$ 53,10",7896004709802,Cápsula gelatinosa dura com microgrânulos de liberação retardada
Lansoprazol Germed Pharma,28 Unidades,30mg,"R$ 184,29",7896004709833,Cápsula gelatinosa dura com microgrânulos de liberação retardada
Lansoprazol Germed Pharma,14 Unidades,30mg,"R$ 100,43",7896004709826,Cápsula gelatinosa dura com microgrânulos de liberação retardada
Lansoprazol Germed Pharma,7 Unidades,30mg,"R$ 58,60",7896004709819,Cápsula gelatinosa dura com microgrânulos de liberação retardada
Lantus,10 mL,100UI/mL,,7891058009205,Solução injetável
Lantus,3 mL,100UI/mL,,7891058025137,Solução injetável
Lantus,3 mL,100UI/mL,,7891058016371,Solução injetável
Laxol,60 mL,100%,,7896026170635,Solução oral
Laxol,60 mL,100%,,7896026136624,Óleo
Linatron,,,,7896014686551,
Liposic,,,,7896046302047,
Lacribell,,,,7896676432855,
Lacrigel A,,,,7896261008250,
Lasene,,,,7896523210278,
Latanoprosta + Maleato de Timolol Germed Pharma,,,,7896004724515,
Levemir,3 mL,100U/mL,"R$ 137,15",7897705201138,Solução injetável
Levemir,3 mL,100U/mL,"R$ 685,83",7897705201145,Solução injetável
Levemir,3 mL,100U/mL,"R$ 666,36",7897705201152,Solução injetável
Leverctin,2 Unidades,6mg,,7894916503266,Comprimido
Leverctin,4 Unidades,6mg,,7894916503259,Comprimido
Lacass,14 Unidades,66.66mg,"R$ 70,65",7899824400478,Comprimido revestido
Lacass,8 Unidades,66.66mg,"R$ 39,60",7899824400454,Comprimido revestido
Latanoprosta EMS,2.5 mL,0.05mg/mL,,7896004760711,Solução oftálmica (colírio)
Latanoprosta EMS,2.5 mL,0.05mg/mL,,7896004724508,Solução oftálmica (colírio)
Lerin,,,,7897316800201,
Lestamil,120 mL,0.4mg/mL,"R$ 38,34",7896112127475,Xarope
Lestamil,15 Unidades,2mg,"R$ 17,56",7896112118213,Comprimido
Levofloxacino Comprimido Eurofarma - Momenta,42 Unidades,500mg,,7891317457860,Comprimido revestido
Levofloxacino Comprimido Eurofarma - Momenta,7 Unidades,250mg,,7891317414269,Comprimido revestido
Levofloxacino Comprimido Eurofarma - Momenta,7 Unidades,500mg,,7891317414139,Comprimido revestido
Levofloxacino Comprimido Eurofarma - Momenta,10 Unidades,500mg,,7891317414221,Comprimido revestido
Levofloxacino Comprimido Eurofarma - Momenta,3 Unidades,500mg,,7891317462208,Comprimido revestido
Levofloxacino Comprimido Eurofarma - Momenta,5 Unidades,750mg,,7891317003630,Comprimido revestido
Levofloxacino Comprimido Eurofarma - Momenta,7 Unidades,750mg,,7891317003647,Comprimido revestido
Levonorgestrel Neo Química,,,,7896714213255,
Lipidil Micronizado,,,,7896672202452,
Levofloxacino Sandoz,3 Unidades,500mg,,7897595605306,Comprimido revestido
Levofloxacino Sandoz,7 Unidades,500mg,,7897595605290,Comprimido revestido
Levofloxacino Sandoz,10 Unidades,500mg,,7897595605283,Comprimido revestido
Levofloxacino Sandoz,5 Unidades,750mg,,7897595637505,Comprimido revestido
Levofloxacino Sandoz,7 Unidades,750mg,,7897595637512,Comprimido revestido
Lisinovil,30 Unidades,20mg,"R$ 85,88",7897595602992,Comprimido
Lisinovil,30 Unidades,10mg,"R$ 51,90",7897595602985,Comprimido
Lisinovil,30 Unidades,5mg,"R$ 29,24",7897595602978,Comprimido
Loratadina Unither Brasil,100 mL,1mg/mL,"R$ 23,64",7898917592991,Xarope
Loratadina Unither Brasil,100 mL,1mg/mL,R$ -,7898917592816,Xarope
Lisinopril Aurobindo Pharma do Brasil,30 Unidades,10mg,,7898361880538,Comprimido
Lisinopril Aurobindo Pharma do Brasil,30 Unidades,5mg,,7898361880521,Comprimido
Livipark,30 Unidades,0.25mg,,7897595615541,Comprimido
Livipark,30 Unidades,0.125mg,,7897595615510,Comprimido
Livipark,30 Unidades,1mg,,7897595615572,Comprimido
Loratadina Legrand,,,,7894916142878,
Loratadina + Sulfato de Pseudoefedrina Legrand,,,,7894916140201,
Lorazepam Germed Pharma,20 Unidades,2mg,"R$ 19,63",7896004709383,Comprimido
Lorazepam Germed Pharma,30 Unidades,2mg,"R$ 29,46",7896004761152,Comprimido
Loratadina + Sulfato de Pseudoefedrina Neo Química,,,,7896714223186,
Loratamed,12 Unidades,10mg,,7896523202822,Comprimido
Loratamed,100 mL,1mg/mL,,7896523202204,Xarope
Loratamed,12 Unidades,10mg,,7896523215174,Comprimido
Loratamed,100 mL,1mg/mL,,7896523211022,Xarope
Lorazepam Medley,20 Unidades,1mg,R$ -,7896422507240,Comprimido
