Name,Quantidade na embalagem,Dose,Preço,Codigos de Barras,Infos
Miantrex CS,2 mL,25mg/mL,R$ -,7891268105032,Solução injetável
Miantrex CS,10 mL,100mg/mL,"R$ 353,43",7891268105018,Solução injetável
Miantrex CS,20 mL,25mg/mL,R$ -,7891268105025,Solução injetável
Mirena,,,,7891106907507,
Miticoçan,100 mL,0mL/mL,,7896658005602,Emulsão tópica
Miticoçan,80 g,100mg/g,,7896658005619,Sabonete
Muricalm,10 mL,1mg/mL,"R$ 9,59",7896261002555,Solução oral (gotas)
Muricalm,120 mL,0.1mg/mL,"R$ 11,54",7896261002562,Xarope
Mydriacyl,,,,7896548112229,
Mylanta Plus,240 mL,6mg/mL,,7891268404036,Suspensão oral
Mylanta Plus,240 mL,6mg/mL,,7891268404029,Suspensão oral
Mylanta Plus,240 mL,80mg/mL,,7891010256425,Suspensão oral
Mylanta Plus,240 mL,80mg/mL,,7891010256432,Suspensão oral
Motilium,90 Unidades,10mg,,7896212424597,Comprimido
Motilium,60 Unidades,10mg,,7896212429745,Comprimido
Motilium,30 Unidades,10mg,,7896212429738,Comprimido
Motilium,60 mL,1mg/mL,,7896212422784,Suspensão oral
Motilium,200 mL,1mg/mL,,7896212422777,Suspensão oral
Motilium,20 Unidades,10mg,,7896212479245,Comprimido
Motilium,100 mL,1mg/mL,,7896212414468,Suspensão oral
Monocordil,Error,Error,Error,Error,Error
Movatec,1.5 mL,10mg/mL,,7896026300971,Solução injetável
Movatec,10 Unidades,15mg,,7896026300872,Comprimido
Muvinor,,,,7896094201743,
Maxcef,3 mL,1g,,7896016802003,Pó para solução injetável
Maxcef,1 Unidades,2g,,7896016802010,Pó para solução injetável
Maxcef,1 Unidades,1g,,7896016807954,Pó para solução injetável
Marax,20 Unidades,25mg,,7891268147681,Comprimido
Marax,20 Unidades,25mg,,7891268147650,Comprimido
Megestat,,,,7896016800726,
Maalox,30 Unidades,25mg,,7891058013196,Comprimido mastigável
Maalox,240 mL,37mg/mL,,7891058013165,Suspensão oral
Maalox,30 Unidades,25mg,,7891058013189,Comprimido mastigável
Maalox,240 mL,37mg/mL,,7891058013172,Suspensão oral
Meromax,,,,7891317451806,
Merthiolate,100 mL,10mg/mL,,7896094901186,Solução dermatológica
Merthiolate,30 mL,10mg/mL,,7896094901148,Solução dermatológica (spray)
Merthiolate,45 mL,10mg/mL,,7896094901155,Solução dermatológica (spray)
Merthiolate,30 mL,10mg/mL,,7896094917354,Solução dermatológica (spray)
Micardis,14 Unidades,40mg,,7896026301503,Comprimido
Micardis,30 Unidades,80mg,,7896026304276,Comprimido
Micardis,10 Unidades,40mg,,7896026304221,Comprimido
Micardis,10 Unidades,80mg,,7896026304252,Comprimido
Micardis,30 Unidades,40mg,,7896026304245,Comprimido
Mucolitic,100 mL,20mg/mL,,7896641802737,Xarope
Mucolitic,100 mL,50mg/mL,,7896641802720,Xarope
Mucolitic,100 mL,20mg/mL,,7898283990223,Xarope
Mucolitic,4 g,250mg,,7896641803147,Granulado
Mucolitic,20 mL,50mg/mL,,7896641802713,Solução oral (gotas)
Miosan Caf,15 Unidades,5mg,,7896637025096,Comprimido revestido
Miosan Caf,15 Unidades,10mg,,7896637025102,Comprimido revestido
Miosan Caf,4 Unidades,10mg,,7896637024877,Comprimido revestido
Miosan Caf,4 Unidades,5mg,,7896637024822,Comprimido revestido
Moduretic,30 Unidades,50mg,,7897337702386,Comprimido
Moduretic,30 Unidades,25mg,,7897337702270,Comprimido
Mucosolvan,50 mL,7.5mg/mL,,7896026300520,Solução oral
Mucosolvan,10 Unidades,75mg,,7896026303194,Cápsula dura com microgrânulos
Mucosolvan,120 mL,6mg/mL,,7891058021566,Xarope
Mucosolvan,120 mL,3mg/mL,,7891058021573,Xarope
Mucosolvan,10 Unidades,75mg,,7891058021658,Cápsula dura com microgrânulos
Mucosolvan,50 mL,7.5mg/mL,,7891058021559,Solução oral (gotas)
Maxalt,,,,7897337702089,
