Name,Quantidade na embalagem,Dose,Preço,Codigos de Barras,Infos
Nebilet,28 Unidades,5mg,"R$ 151,36",7896112412175,Comprimido
Nebilet,56 Unidades,5mg,"R$ 302,75",7896112412335,Comprimido
Nebilet,7 Unidades,5mg,"R$ 25,82",7896112416975,Comprimido
Nebilet,30 Unidades,5mg,"R$ 162,14",7896112400684,Comprimido
Nebilet,60 Unidades,5mg,"R$ 324,35",7896112400691,Comprimido
Nebilet,90 Unidades,5mg,"R$ 486,44",7896112400707,Comprimido
Nexium,7 Unidades,40mg,"R$ 141,34",7896206402174,Comprimido revestido
Nexium,28 Unidades,20mg,"R$ 237,81",7896206402969,Comprimido revestido
Nexium,28 Unidades,40mg,"R$ 497,06",7896206402976,Comprimido revestido
Nexium,14 Unidades,40mg,"R$ 248,52",7896206402181,Comprimido revestido
Nexium,14 Unidades,20mg,"R$ 118,90",7896206402167,Comprimido revestido
Nexium,7 Unidades,20mg,"R$ 65,06",7896206402150,Comprimido revestido
Nicorette,7 Unidades,8.3mg,,7891010807412,Adesivo transdérmico
Nicorette,7 Unidades,16.6mg,,7891010807429,Adesivo transdérmico
Nicorette,7 Unidades,24.9mg,,7891010807443,Adesivo transdérmico
Nicorette,210 Unidades,nullmg/mL,,7891010942137,Goma mastigável
Nicorette,60 Unidades,4mg,,7891010978235,Goma mastigável
Nicorette,30 Unidades,2mg,,7891010970871,Tablete mastigável
Nicorette,30 Unidades,4mg,,7891010970888,Tablete mastigável
Nicorette,30 Unidades,2mg,,7896931406546,Goma mastigável
Nutraplus,120 mL,0.1g/g,,7897930764538,Loção dermatológica
Nutraplus,60 g,0.1g/g,,7897930760806,Creme dermatológico
Nutraplus,300 mL,0.1g/g,,7897930761681,Loção dermatológica
Nolvadex-D,30 Unidades,10mg,,7896206400361,Comprimido
Nolvadex-D,30 Unidades,20mg,,7896206400385,Comprimido
Naprix D,30 Unidades,5mg,,7896094201293,Cápsula
Naprix D,30 Unidades,5mg,,7896094201095,Cápsula
Naprix D,30 Unidades,5mg,,7896094203259,Cápsula dura
Naprix D,30 Unidades,5mg,,7896094203266,Cápsula dura
Naprix D,10 Unidades,5mg,,7896094212558,Cápsula dura
Novonorm,30 Unidades,2mg,,7897705200841,Comprimido
Novonorm,30 Unidades,1mg,,7897705200810,Comprimido
Novonorm,30 Unidades,0.5mg,,7897705200780,Comprimido
Navelbine Injetável,5 mL,10mg/mL,,7896290401862,Solução injetável
Navelbine Injetável,1 mL,10mg/mL,,7896290402005,Solução injetável
Neozine,20 Unidades,25mg,,7896070601062,Comprimido revestido
Neozine,20 mL,40mg/mL,,7896070601055,Solução oral (gotas)
Neozine,20 Unidades,100mg,,7896070601574,Comprimido revestido
Nizoral,30 Unidades,200mg,,7896212479498,Comprimido
Nizoral,10 Unidades,200mg,,7896212479474,Comprimido
Nizoral,30 g,20mg/g,,7896212469970,Creme dermatológico
Novacort,30 g,20mg/g,,7896658000560,Creme dermatológico
Novacort,10 g,20mg/g,,7896658007088,Creme dermatológico
Novacort,30 g,20mg/g,,7896658000577,Pomada dermatológica
Naldecon Noite,60 mL,nullmg/mL,,7896016805233,Solução oral
Naldecon Noite,4 Unidades,400mg,,7896016806247,Comprimido
Naldecon Noite,24 Unidades,400mg,,7896016806261,Comprimido
Nasonex,120 doses,50mcg,,7898926572113,Suspensão oral
Nasonex,60 doses,50mcg,,7898926572090,Suspensão nasal
Novalgina Comprimido,10 Unidades,1g,,7891058001155,Comprimido efervescente
Novalgina Comprimido,4 Unidades,1g,,7891058015756,Comprimido
Novalgina Comprimido,10 Unidades,1g,,7891058011222,Comprimido
Novalgina Comprimido,30 Unidades,500mg,,7891058008635,Comprimido
Novalgina Comprimido,4 Unidades,500mg,,7891058001148,Comprimido
Novalgina Comprimido,10 Unidades,500mg,,7891058008642,Comprimido
Novalgina Comprimido,2 Unidades,1g,,7891058015770,Comprimido efervescente
Novalgina Comprimido,20 Unidades,1g,,7891058002565,Comprimido
Naropin,20 mL,10mg/mL,,7895858016913,Solução injetável
Naropin,20 mL,2mg/mL,,7895858016883,Solução injetável
Naropin,10 mL,10mg/mL,,7895858016906,Solução injetável
Naropin,20 mL,7.5mg/mL,,7895858016890,Solução injetável
Nitrencord,30 Unidades,10mg,,7896181902645,Comprimido revestido
Nitrencord,30 Unidades,20mg,,7896181902485,Comprimido revestido
Naldecon Dia,4 Unidades,800mg,,7896016805615,Comprimido
Naldecon Dia,24 Unidades,400mg,,7896016805608,Comprimido
Neosaldina,40 Unidades,30mg,,7896641808470,Drágea
Neosaldina,10 Unidades,30mg,,7896641808579,Drágea
Neosaldina,20 Unidades,30mg,,7896641808586,Drágea
Neosaldina,30 Unidades,30mg,,7896641808593,Drágea
Neosaldina,80 Unidades,30mg,,7896641810992,Drágea
Neosaldina,6 Unidades,30mg,,7896641812620,Drágea
Neosaldina,30 Unidades,30mg,,7896094999992,Comprimido revestido
Neosaldina,20 Unidades,30mg,,7896641803871,Drágea
Neosaldina,15 mL,50mg/mL,,7896641804663,Solução oral (gotas)
Neosaldina,4 Unidades,30mg,,7896641805653,Drágea
Neosaldina,1 Unidades,30mg,,7896641803925,Drágea
Neosaldina,15 mL,50mg/mL,,7896641803895,Solução oral (gotas)
Neosaldina,20 Unidades,30mg,,7896094921979,Comprimido revestido
Neosaldina,100 Unidades,30mg,,7896094921962,Comprimido revestido
Neosaldina,4 Unidades,30mg,,7896094921986,Comprimido revestido
Neosaldina,10 Unidades,30mg,,7896094921993,Comprimido revestido
Neosaldina,10 Unidades,30mg,,7896641810985,Drágea
Nitroderm TTS,10 Unidades,5mg,,7896261000667,Adesivo transdérmico
Nitroderm TTS,10 Unidades,10mg,,7896261000650,Adesivo transdérmico
Nootropil,30 Unidades,800mg,,7896070603271,Comprimido revestido
Nootropil,5 mL,200mg/mL,,7896070603240,Solução injetável
Nuvaring,3 Unidades,11.7mg,,7897572020023,Anel ginecológico
Nuvaring,1 Unidades,11.7mg,,7897572006195,Anel ginecológico
Nuvaring,3 Unidades,11.7mg,,7897572001411,Anel ginecológico
Nuvaring,1 Unidades,11.7mg,,7897572020030,Anel ginecológico
Nuvaring,1 Unidades,11.7mg,,7897337716567,Anel ginecológico
Nimbium,5 mL,2mg/mL,,7896269901515,Solução injetável
Nimbium,30 mL,5mg/mL,,7896269901539,Solução injetável
Nimbium,10 mL,2mg/mL,,7896269901522,Solução injetável
Neotigason,100 Unidades,10mg,,7897473206670,Cápsula gelatinosa dura
Neotigason,30 Unidades,10mg,,7897473206663,Cápsula gelatinosa dura
Neotigason,30 Unidades,25mg,,7897473206687,Cápsula gelatinosa dura
Neotigason,100 Unidades,25mg,,7897473206694,Cápsula gelatinosa dura
Neotigason,100 Unidades,10mg,,7898587901291,Cápsula dura
Neotigason,30 Unidades,10mg,,7898587901307,Cápsula dura
Neotigason,30 Unidades,25mg,,7898587901321,Cápsula dura
Neotigason,100 Unidades,25mg,,7898587901352,Cápsula dura
Nenê Dent N,10 g,150mg/g,,7896641802843,Solução bucal
Nenê Dent N,10 g,150mg/g,,7896094922129,Gel
Noctal,,,,7891158000195,
Naranety,12 Unidades,2.5mg,,7896004739663,Comprimido revestido
Naranety,4 Unidades,2.5mg,,7896004734132,Comprimido revestido
Naranety,2 Unidades,2.5mg,,7896004782324,Comprimido revestido
Naranety,6 Unidades,2.5mg,,7896004782331,Comprimido revestido
Naranety,10 Unidades,2.5mg,,7896004782348,Comprimido revestido
Naranety,20 Unidades,2.5mg,,7896004782355,Comprimido revestido
Naridrin,30 mL,5mg/mL,,7896004714578,Solução nasal
Naridrin,15 mL,5mg/mL,,7896004803456,Solução nasal
Naridrin,15 mL,5mg/mL,,7896004803463,Solução nasal
Narix,30 mL,0.1mg/mL,R$ -,7896523202624,Solução nasal
Narix,15 mL,0.5mg/mL,"R$ 10,88",7896523202617,Solução nasal
Narix,30 mL,0.5mg/mL,"R$ 9,90",7896523202600,Solução nasal
Nasoclean,100 mL,9mg/mL,,7896015526382,Solução nasal
Nasoclean,125 mL,9mg/mL,,7896015530372,Solução nasal
Nasoclean,100 mL,9mg/mL,,7896862994297,Solução nasal
Natifa,,,,7896094201460,
Nausilon B6,,,,7898158692139,
Naxogin,,,,7891268105407,
Natifa Pro,,,,7896094201477,
Nebaciderme,10 g,5mg/g,,7896472503193,Pomada dermatológica
Nebaciderme,10 g,5mg/g,,7896472504916,Pomada dermatológica
Nebaciderme,30 g,5mg/g,,7896472517381,Pomada dermatológica
Nebaciderme,50 g,5mg/g,,7896472517435,Pomada dermatológica
Nebaciderme,10 g,5mg/g,,7896472502103,Pomada dermatológica
Nebaciderme,15 g,5mg/g,,7895296450034,Pomada dermatológica
Naturetti,90 Unidades,nullmg/mL,,7891058004545,Cápsula gelatinosa dura
Naturetti,260 g,28.9mg/g,,7891058013158,Geleia
Naturetti,130 g,28.9mg/g,,7891058013141,Geleia
Naturetti,16 Unidades,28.9mg,,7896714292168,Cápsula dura
Neocetrin,,,,7893353309110,
Neo Fólico,,,,7896714201108,
Neotaren Comprimido,,,,7896714200217,
Naprix,30 Unidades,5mg,,7896094206366,Comprimido
Naprix,30 Unidades,2.5mg,,7896094206342,Comprimido
Naprix,30 Unidades,10mg,,7896094206380,Comprimido
Naprix,30 Unidades,10mg,,7896094201262,Comprimido
Naprix,20 Unidades,5mg,,7896094201057,Comprimido
Naprix,30 Unidades,10mg,,7896094207721,Cápsula gelatinosa dura
Naprix,90 Unidades,2.5mg,,7896094210707,Comprimido
Naprix,90 Unidades,10mg,,7896094210721,Comprimido
Naprix,90 Unidades,5mg,,7896094210714,Comprimido
Naprix A,30 Unidades,5mg,"R$ 77,28",7896094201392,Cápsula gelatinosa dura
Naprix A,30 Unidades,10mg,"R$ 77,28",7896094202603,Cápsula gelatinosa dura
Naprix A,30 Unidades,10mg,"R$ 77,28",7896094201811,Cápsula gelatinosa dura
Naprix A,30 Unidades,2.5mg,"R$ 77,28",7896094201385,Cápsula gelatinosa dura
Naprix A,10 Unidades,5mg,"R$ 25,75",7896094212565,Cápsula gelatinosa dura
Naprix A,10 Unidades,10mg,"R$ 25,75",7896094212572,Cápsula gelatinosa dura
Naprix A,10 Unidades,10mg,"R$ 25,75",7896094212589,Cápsula gelatinosa dura
Nasofar AD,30 mL,9mg/mL,,7897917000529,Solução nasal
