Name,Quantidade na embalagem,Dose,Preço,Codigos de Barras,Infos
Omcilon-AM,,,,,
Omnaris,,,,7896641806568,
Otosynalar,,,,7896226503363,
Oroxadin,10 Unidades,100mg,R$ -,7897595901408,Comprimido
Oroxadin,30 Unidades,100mg,"R$ 185,07",7897595901392,Comprimido
Oceral,,,,7891106006392,
Ovestrion Comprimido,30 Unidades,1mg,,7897572000803,Comprimido
Ovestrion Comprimido,30 Unidades,2mg,,7897572000810,Comprimido
Ovidrel,0.5 mL,250mcg/mL,"R$ 444,70",7898106035421,Solução injetável
Ovidrel,0.5 mL,250mcg/mL,"R$ 608,05",7891721027963,Solução injetável
Otrivina,10 g,1mg/g,,7896261000704,Gel
Otrivina,15 mL,1mg/mL,,7896261010055,Solução nasal
Onglyza,28 Unidades,5mg,"R$ 172,63",,Comprimido revestido
Oxycontin,30 Unidades,20mg,,7898586630192,Comprimido revestido de liberação controlada
Oxycontin,30 Unidades,10mg,,7892953121092,Comprimido revestido de liberação controlada
Oxycontin,12 Unidades,20mg,,7892953121047,Comprimido revestido de liberação controlada
Oxycontin,12 Unidades,10mg,,7892953127179,Comprimido revestido de liberação controlada
Oxycontin,12 Unidades,40mg,,7892953127162,Comprimido revestido de liberação controlada
Oxycontin,30 Unidades,40mg,,7892953127186,Comprimido revestido de liberação controlada
Oxycontin,28 Unidades,20mg,,7892953121146,Comprimido revestido de liberação prolongada
Oxycontin,14 Unidades,10mg,,7898586630246,Comprimido revestido de liberação prolongada
Oxycontin,28 Unidades,10mg,,7898586630208,Comprimido revestido de liberação prolongada
Oxycontin,28 Unidades,40mg,,7898586630284,Comprimido revestido de liberação prolongada
Oxycontin,14 Unidades,20mg,,7898586630239,Comprimido revestido de liberação prolongada
Oxycontin,14 Unidades,40mg,,7898586630277,Comprimido revestido de liberação prolongada
Oncodox,,50mg,"R$ 0,00",7895197130066,Pó para solução injetável
Oncodox,,10mg,R$ -,7895197130073,Pó para solução injetável
Ofloxacino Legrand,,,,7894916142960,
Oflox,,,,7897316800256,
Ofloxacino Germed Pharma,,,,7896004713830,
Ocitocina Blau,,,,7896014654222,
Oestrogel,80 g,nullmg/mL,,7898040321314,Gel
Oestrogel,80 g,48mg,,7898040321324,Gel
Oestrogel,1 Unidades,48mg,,7898040321321,Gel
Oestrogel,80 g,0.6mg/g,,7898948648193,Gel
Oestrogel,80 g,0.6mg/g,,7898948648179,Gel
Oleptal,30 Unidades,300mg,"R$ 84,00",,Comprimido revestido
Onbrize,30 Unidades,150mcg,,7896261016385,Cápsula de pó para inalação
Onbrize,10 Unidades,150mcg,,7896261016392,Cápsula de pó para inalação
Onbrize,10 Unidades,300mcg,,7896261016439,Cápsula de pó para inalação
