Name,Quantidade na embalagem,Dose,Preço,Codigos de Barras,Infos
Pantelmin,30 mL,20mg/mL,"R$ 21,78",7896212468898,Suspensão oral (gotas)
Pantelmin,1 Unidades,500mg,"R$ 17,89",7896212429028,Comprimido
Prurizin,100 mL,2mg,,7896290400575,Solução oral
Prurizin,12 Unidades,10mg,,7896290402036,Comprimido
Prurizin,12 Unidades,25mg,,7896290402043,Comprimido
Prurizin,30 Unidades,25mg,,7896290400568,Comprimido
Prurizin,30 Unidades,10mg,,7896290400551,Comprimido
Pariet,56 Unidades,20mg,,7896212423781,Comprimido revestido
Pariet,14 Unidades,20mg,,7896212429141,Comprimido revestido
Pariet,28 Unidades,20mg,,7896212429158,Comprimido revestido
Pariet,7 Unidades,20mg,,7896212427055,Comprimido revestido
Pariet,14 Unidades,10mg,,7896212426928,Comprimido revestido
Pariet,42 Unidades,20mg,,7896212423774,Comprimido revestido
Pariet,5 Unidades,20mg,,7896212423798,Comprimido revestido
Pariet,5 Unidades,10mg,,7896212423910,Comprimido revestido
Prazol,7 Unidades,30mg,,7896422501507,Cápsula gelatinosa dura de liberação retardada
Prazol,28 Unidades,15mg,,7896422501972,Cápsula gelatinosa dura de liberação retardada
Prazol,14 Unidades,30mg,,7896422505888,Cápsula dura de liberação retardada
Prazol,14 Unidades,15mg,,7896422501965,Cápsula gelatinosa dura de liberação retardada
Prazol,28 Unidades,30mg,,7896422521710,Cápsula gelatinosa dura de liberação retardada
Pletil,4 Unidades,500mg,,7891268105902,Comprimido revestido
Pletil,8 Unidades,500mg,,7891268105919,Comprimido revestido
Propecia,,,,7897337709019,
Propil,,,,7891268106107,
Polvilho Antisséptico Granado,100 g,undefinedmg/mL,,78965129043210,
Polvilho Antisséptico Granado,100 g,0.352g,,7896512904089,
Polvilho Antisséptico Granado,200 g,0.352g,,7896512904324,
Polvilho Antisséptico Granado,100 g,nullg,,7896512902504,
Polvilho Antisséptico Granado,100 g,0.352g,,7896512913708,
Polvilho Antisséptico Granado,,0.352g,,7896512904126,
Plaquinol,,,,7897595900302,
Pyridium,25 Unidades,100mg,,7892953001370,Drágea
Pyridium,12 Unidades,100mg,,7892953001363,Drágea
Pyridium,18 Unidades,200mg,,7892953001387,Drágea
Pyridium,6 Unidades,200mg,,7892953209356,Drágea
Pamelor,20 Unidades,50mg,,7896261002654,Cápsula gelatinosa dura
Pamelor,20 Unidades,25mg,,7896261002647,Cápsula gelatinosa dura
Pamelor,20 Unidades,75mg,,7896261002661,Cápsula gelatinosa dura
Pamelor,100 mL,2mg/mL,,7896261003149,Solução oral
Pamelor,20 Unidades,10mg,,7896261005921,Cápsula gelatinosa dura
Pamelor,30 Unidades,25mg,,7896261009677,Cápsula gelatinosa dura
Pamelor,30 Unidades,10mg,,7896261009660,Cápsula gelatinosa dura
Pamelor,30 Unidades,50mg,,7896261009684,Cápsula gelatinosa dura
Pamelor,20 Unidades,10mg,,7893454101675,Cápsula dura
Pamelor,30 Unidades,10mg,,7893454101668,Cápsula dura
Pamelor,20 Unidades,25mg,,7893454101705,Cápsula dura
Pamelor,30 Unidades,25mg,,7893454101699,Cápsula dura
Pamelor,30 Unidades,50mg,,7893454101729,Cápsula dura
Pamelor,30 Unidades,75mg,,7893454101736,Cápsula dura
Pamelor,60 Unidades,10mg,,7893454714530,Cápsula dura
Pamelor,60 Unidades,25mg,,7893454714547,Cápsula dura
Pamelor,60 Unidades,50mg,,7893454714554,Cápsula dura
Pamelor,60 Unidades,75mg,,7893454714561,Cápsula dura
Puran T4,30 Unidades,112mcg,,7897595903372,Comprimido
Puran T4,30 Unidades,88mcg,,7897595903365,Comprimido
Puran T4,30 Unidades,200mcg,,7897595903259,Comprimido
Puran T4,28 Unidades,200mcg,,7891058006457,Comprimido
Puran T4,28 Unidades,112mcg,,7891058006419,Comprimido
Puran T4,28 Unidades,150mg,,7891058006433,Comprimido
Puran T4,28 Unidades,50mg,,7891058006372,Comprimido
Puran T4,28 Unidades,100mcg,,7891058006402,Comprimido
Puran T4,28 Unidades,125mcg,,7891058006426,Comprimido
Puran T4,28 Unidades,75mg,,7891058006389,Comprimido
Puran T4,30 Unidades,50mg,,7897595901316,Comprimido
Puran T4,28 Unidades,88mcg,,7891058006396,Comprimido
Puran T4,28 Unidades,25mcg,,7891058006365,Comprimido
Puran T4,30 Unidades,100mcg,,7897595901033,Comprimido
Puran T4,30 Unidades,150mg,,7897595901330,Comprimido
Puran T4,30 Unidades,75mg,,7897595901323,Comprimido
Puran T4,30 Unidades,125mg,,7897595901446,Comprimido
Puran T4,30 Unidades,175mcg,,7897595901576,Comprimido
Puran T4,30 Unidades,25mg,,7897595901309,Comprimido
Puran T4,28 Unidades,175mcg,,7891058006440,Comprimido
Puran T4,30 Unidades,12.5mg,,7891058003555,Comprimido
Puran T4,30 Unidades,300mcg,,7891058003586,Comprimido
Puran T4,30 Unidades,37.5mg,,7891058003562,Comprimido
Puran T4,30 Unidades,62.5mcg,,7891058003579,Comprimido
Pantozol,28 Unidades,40mg/g,,7896641806261,Granulado
Pantozol,,40mg,,7896641806254,Granulado
Pantozol,42 Unidades,40mg,,7896641804755,Comprimido revestido de liberação retardada
Pantozol,7 Unidades,40mg,,7896641802126,Comprimido revestido de liberação retardada
Pantozol,28 Unidades,40mg,,7896641802232,Comprimido revestido de liberação retardada
Pantozol,28 Unidades,20mg,,7896641802478,Comprimido revestido de liberação retardada
Pantozol,56 Unidades,20mg,,7896641807084,Comprimido revestido de liberação retardada
Pantozol,42 Unidades,20mg,,7896641804748,Comprimido revestido de liberação retardada
Pantozol,7 Unidades,20mg,,7896641802423,Comprimido revestido de liberação retardada
Pantozol,14 Unidades,20mg,,7896641802430,Comprimido revestido de liberação retardada
Pantozol,56 Unidades,40mg,,7896641807091,Comprimido revestido de liberação retardada
Pantozol,14 Unidades,40mg,,7896641802119,Comprimido revestido de liberação retardada
Pantozol,1 Unidades,40mg,,7896641805714,Solução injetável
Pantozol,2 Unidades,20mg,,7896641805646,Comprimido revestido de liberação retardada
Pantozol,2 Unidades,40mg,,7896641805721,Comprimido revestido de liberação retardada
Pantozol,1 Unidades,4mg/mL,,7896641811678,Pó para solução injetável
Parlodel,14 Unidades,2.5mg,,7896261002692,Cápsula
Parlodel,28 Unidades,2.5mg,,7896261002685,Comprimido
Parlodel,14 Unidades,2.5mg,,7896261002678,Comprimido
