Name,Quantidade na embalagem,Dose,Preço,Codigos de Barras,Infos
Quadriderm,10 g,0.5mg/g,R$ -,7891142180742,Creme dermatológico
Quadriderm,20 g,0.5mg/g,"R$ 59,89",7891142180766,Creme dermatológico
Quadriderm,20 g,0.5mg/g,"R$ 60,09",7891142180773,Pomada dermatológica
Quadriderm,10 g,0.5mg/g,"R$ 30,00",7891142180759,Pomada dermatológica
Qiftrim,20 Unidades,400mg,,7897595614513,Comprimido
Qiftrim,10 Unidades,800mg,,7897595614520,Comprimido
Quadribeta,20 g,0.5mg/g,,7897917002288,Creme dermatológico
Quadribeta,20 g,0.5mg/g,,7897917003308,Pomada dermatológica
Quadritop,,,,7896523209210,
Quinoflox,14 Unidades,250mg,,7896241240960,Comprimido revestido
Quinoflox,14 Unidades,500mg,,7896241243558,Comprimido revestido
Quinoflox,10 Unidades,500mg,,7896241241400,Comprimido revestido
Quinoflox,6 Unidades,500mg,,7896006241355,Comprimido revestido
Quinoflox,28 Unidades,500mg,,7896112401131,Comprimido revestido
Questran Light,4.68 g,854.4mg/g,,7896016807534,Pó para solução oral
Questran Light,4.68 g,854.4mg/g,,7896016801273,Pó para solução oral
Qlaira,,,,7891106904582,
Queimalive,30 g,74mg/g,,7898158691576,Pomada dermatológica
Queimalive,50 mL,74mg,,7898495605908,Loção dermatológica
Quitlis,,,,7896685302095,
Quinacris,10 Unidades,250mg,,7896676411034,Comprimido revestido
Quinacris,10 Unidades,250mg,,7896676411027,Comprimido revestido
Quelatus,60 Unidades,,,7899640807864,Comprimido
Quelatus,30 Unidades,,,7899640807970,Comprimido
Quadrilon,15 g,0.5mg/g,,7896714266886,Pomada dermatológica
Quadrilon,15 g,0.5mg/g,,7896714266879,Creme dermatológico
Quadrilon,20 g,0.5mg/g,,7896714266916,Creme dermatológico
Quadrilon,20 g,0.5mg/g,,7896714266947,Pomada dermatológica
Quadrineo,15 g,0.5mg/g,,7898049793709,Creme dermatológico
Quadrineo,15 g,0.5mg/g,,7898049793730,Pomada dermatológica
