Name,Quantidade na embalagem,Dose,Preço,Codigos de Barras,Infos
Rifocina Spray,,,,7891058061562,
Revatio,,,,,
Rilutek,,,,7896070601307,
Resfenol,10 Unidades,400mg,R$ -,7896331703436,Cápsula dura
Resfenol,100 mL,40mg/mL,"R$ 30,48",7896331701661,Solução oral
Resfenol,20 Unidades,400mg,"R$ 25,26",7896331703443,Cápsula dura
Resfenol,10 Unidades,400mg,"R$ 156,52",7896331701968,Cápsula dura
Resfenol,4 Unidades,400mg,"R$ 253,18",7896331701975,Cápsula dura
Resfenol,5 Unidades,400mg,"R$ 387,90",7896331701982,Cápsula dura
Resfenol,5 g,400mg,"R$ 193,46",7896331706611,Pó para solução oral
Resfenol,5 g,400mg,"R$ 21,61",7896331708578,Pó para solução oral
Retemic,60 Unidades,5mg,"R$ 74,81",7896637022569,Comprimido
Retemic,30 Unidades,5mg,"R$ 45,05",7896637022552,Comprimido
Retemic,120 mL,1mg/mL,"R$ 59,83",7896637022576,Xarope
Rubidex,,,,7893736004502,
Rapifen,5 mL,544mcg/mL,R$ -,7896212429226,Solução injetável
Rapifen,5 mL,544mcg/mL,"R$ 245,08",7898564761368,Solução injetável
Rasilez,14 Unidades,150mg,R$ -,7896261013551,Comprimido revestido
Rasilez,14 Unidades,300mg,R$ -,7896261013612,Comprimido revestido
Rasilez,28 Unidades,150mg,"R$ 140,37",7896261013568,Comprimido revestido
Rasilez,28 Unidades,300mg,"R$ 140,37",7896261013629,Comprimido revestido
Reparil,30 g,10mg/g,"R$ 36,21",7898560661563,Gel
Reparil,100 g,10mg/g,"R$ 58,55",7896641804212,Gel
Revectina,2 Unidades,6mg,"R$ 33,86",7896255766470,Comprimido
Revectina,4 Unidades,6mg,"R$ 59,58",7896255766487,Comprimido
Rivotril,20 mL,2.5mg/mL,,7896226501239,Solução oral (gotas)
Rivotril,20 Unidades,0.5mg,,7896226500201,Comprimido
Rivotril,20 Unidades,2mg,,7896226500218,Comprimido
Rivotril,30 Unidades,0.25mg,,7896226504742,Comprimido sublingual
Rivotril,30 Unidades,0.5mg,,7896226502427,Comprimido
Rivotril,30 Unidades,2mg,,7896226502410,Comprimido
Rivotril,30 Unidades,0.25mg,,7898581710462,Comprimido sublingual
Rinigran,10 mL,0.5mg/mL,"R$ 11,68",7896004704883,Solução nasal
Rinigran,10 mL,1mg/mL,"R$ 13,78",7896004704876,Solução nasal
Renitec,30 Unidades,10mg,"R$ 25,89",7897337705882,Comprimido
Renitec,30 Unidades,20mg,"R$ 79,03",7897337705868,Comprimido
Renitec,30 Unidades,5mg,"R$ 40,24",7897337705899,Comprimido
Rino-Lastin,10 mL,1mg/mL,"R$ 58,29",7896658005794,Solução nasal
Rino-Lastin,10 mL,1mg/mL,"R$ 71,89",7898560664090,Solução nasal
Refresh,,,,7897316802830,
Rohypnol,20 Unidades,1mg,"R$ 18,54",7896226500263,Comprimido revestido
Rohypnol,30 Unidades,1mg,"R$ 27,86",7896226502434,Comprimido revestido
Ribavirin,60 Unidades,250mg,,7896014664238,Cápsula gelatinosa dura
Ribavirin,20 Unidades,250mg,,7896014664214,Cápsula gelatinosa dura
Relestat,5 mL,5mg/mL,"R$ 82,44",7897316805299,Solução oftálmica (colírio)
Relestat,10 mL,0mg/mL,"R$ 164,86",7897316805336,Solução oftálmica (colírio)
Restasis,,,,7897316805077,
Ritmonorm,60 Unidades,300mg,"R$ 293,75",7896255764858,Comprimido revestido
Ritmonorm,30 Unidades,300mg,"R$ 146,86",7896255764384,Comprimido revestido
Ritmonorm,10 Unidades,300mg,"R$ 48,90",7896255764490,Comprimido revestido
Ritmonorm,20 Unidades,300mg,R$ -,7896255716758,Comprimido revestido
Reminyl ER,28 Unidades,16mg,"R$ 555,34",7896212420643,Cápsula
Reminyl ER,28 Unidades,24mg,"R$ 597,09",7896212420674,Cápsula
Reminyl ER,7 Unidades,8mg,"R$ 151,70",7896212420612,Cápsula
Rupafin,6 Unidades,10mg,"R$ 56,29",7896181917816,Comprimido
Rupafin,10 Unidades,10mg,"R$ 93,86",7896181907336,Comprimido
Riopan Plus Comprimido,,,,7896641800733,
Rapamune,60 mL,1mg/mL,,7891045006514,Solução oral
Rapamune,60 Unidades,1mg,,7891045009683,Drágea
Rapamune,30 Unidades,2mg,,7891045009676,Drágea
Relistor,,,,7891045009997,
Rovamicina,,,,7896070605497,
Rinofluimucil,,,,7898074610910,
Ranitidil,10 Unidades,150mg,"R$ 23,68",7896862910587,Comprimido revestido
Ranitidil,20 Unidades,150mg,"R$ 36,07",7896862910624,Comprimido revestido
Ranitidil,300 Unidades,150mg,"R$ 296,28",7896862917586,Comprimido revestido
Regencel,,,,7896180300510,
Rehidrat,7.34 g,822.64mg/g,,7891317007454,Pó para solução oral
Rehidrat,7.625 g,791.55mg/g,,7891317007508,Pó para solução oral
Rehidrat,5 g,716.84mg/g,,7891317007478,Pó para solução oral
Ranytisan,,,,7898060131726,
Razapina,28 Unidades,45mg,,7897595608383,Comprimido revestido
Razapina,7 Unidades,30mg,,7897595608277,Comprimido revestido
Razapina,28 Unidades,30mg,,7897595608307,Comprimido revestido
Razapina,14 Unidades,30mg,,7897595608284,Comprimido revestido
Razapina,30 Unidades,30mg,,7897595634924,Comprimido revestido
Razapina,60 Unidades,30mg,,7897595635570,Comprimido revestido
Razapina,30 Unidades,45mg,,7897595634894,Comprimido revestido
Redvit,100 mL,,,7893353104333,Suspensão oral
Redvit,50 Unidades,,,7893353604314,Comprimido revestido
Relaflex,12 Unidades,300mg,,7896331701685,Comprimido
Relaflex,4 Unidades,300mg,,7896331701692,Comprimido
Reforgan,20 Unidades,250mg,,7897460401071,Comprimido revestido
Reforgan,30 Unidades,250mg,,7897460401415,Comprimido revestido
Reforgan,30 Unidades,500mg,,7897460401651,Comprimido revestido
Ranition,120 mL,15mg/mL,R$ -,7896137103416,Xarope
Ranition,120 mL,15mg/mL,"R$ 45,90",7896137113545,Xarope
Rebif,0.5 mL,22mcg/mL,,7891721022418,Solução injetável
Rebif,0.5 mL,44mcg/mL,,7891721022425,Solução injetável
Rebif,1.5 mL,44mcg/mL,,7891721024290,Solução injetável
Rebif,1.5 mL,132mcg,,7891721024306,Solução injetável
Rebif,0.5 mL,22mcg/mL,,7891721027512,Solução injetável
Rebif,0.5 mL,44mcg/mL,,7891721027529,Solução injetável
Refortrix,,,,7896015520007,
Reidramax,,,,7893736015829,
Radifree,,,,7897460400548,
Rebetol,140 Unidades,200mg,,7897572005792,Cápsula gelatinosa dura
Rebetol,14 Unidades,200mg,,7898926572991,Cápsula gelatinosa dura
Redoxon Gotas,,,,7891106006286,
Redoxon Zinco,10 Unidades,1g,"R$ 22,78",7891106006330,Comprimido efervescente
Redoxon Zinco,30 Unidades,1g,"R$ 53,65",7891106006910,Comprimido efervescente
Reducofen,,,,7895296125024,
Reduclim,35 Unidades,1.25mg,,7898040322199,Comprimido
Reduclim,35 Unidades,2.5mg,,7898040322205,Comprimido
Reduclim,84 Unidades,2.5mg,,7898040321215,Comprimido
Reduclim,14 Unidades,1.25mg,,7898040321727,Comprimido
Reduclim,14 Unidades,2.5mg,,78980403216977,Comprimido
Rehidrazol,450 mL,19.83mg,,7898060132280,Solução oral
Rehidrazol,450 mL,19.83mg,,7898060132310,Solução oral
Rehidrazol,450 mL,19.83mg,,7898060132273,Solução oral
Rehidrazol,450 mL,19.83mg,,7898060132327,Solução oral
Rehidrazol,27.9 g,1.49mg,,7898060138626,Pó para suspensão oral
Rehidrazol,29.02 g,19.83mg,,7898060133966,Pó para solução oral
Rehidrazol,29.57 g,19.83mg,,7898060133928,Pó para solução oral
Rehidrazol,29.58 g,19.83mg,,7898060133942,Pó para solução oral
Rehidrazol,29.02 g,19.83mg,,7898060133973,Pó para solução oral
Rehidrazol,29.57 g,19.83mg,,7898060133935,Pó para solução oral
Rehidrazol,29.58 g,19.83mg,,7898060133959,Pó para solução oral
Rehidrazol,27.9 g,nullmg/mL,,7898060134079,Pó para preparo de bebida
Rehidrazol,27.9 g,1.49mg,,7898060138732,Pó para solução oral
Repogen,,,,7896094200654,
Relenza,,,,7896269901485,
Recalplex,,,,7893736004342,
Rafex,10 Unidades,180mg,"R$ 82,99",7896422521239,Comprimido revestido
Rafex,10 Unidades,120mg,"R$ 54,36",7896422521208,Comprimido revestido
Rafex,5 Unidades,120mg,"R$ 25,63",7896422521192,Comprimido revestido
Rafex,5 Unidades,180mg,"R$ 37,20",7896422521222,Comprimido revestido
Ranidin,,,,7896006292456,
Relapax,20 Unidades,5mg,"R$ 10,42",7893736014655,Comprimido
Relapax,20 Unidades,10mg,"R$ 12,00",7893736014730,Comprimido
Relapax,500 Unidades,10mg,"R$ 302,28",7893736024739,Comprimido
Relapax,500 Unidades,5mg,"R$ 263,41",7893736024654,Comprimido
Relapax,30 Unidades,5mg,"R$ 14,27",7893736014747,Comprimido
Relapax,30 Unidades,10mg,"R$ 18,05",7893736014754,Comprimido
Regenom,,,,7896006290421,
Repoflor,6 Unidades,200mg,"R$ 49,88",7896004720838,Cápsula dura
Repoflor,1 g,200mg/g,"R$ 42,90",7896004715230,Pó para solução oral
Repoflor,12 Unidades,100mg,"R$ 59,07",7896004715247,Cápsula gelatinosa dura
Repoflor,800 mg,250mg,"R$ 68,27",7896004769943,Pó para solução oral
Repoflor,10 Unidades,250mg,"R$ 63,92",7896004774626,Cápsula dura
Repoflor,800 mg,250mg,R$ -,7894916325899,Pó para solução oral
Repoflor,6 Unidades,250mg,R$ -,7894916325882,Cápsula dura
Remicade,,,,7896212424399,
Ramipril Ranbaxy,30 Unidades,2.5mg,"R$ 41,38",7897076910400,Comprimido revestido
Ramipril Ranbaxy,30 Unidades,5mg,"R$ 78,07",7897076910424,Comprimido
Rapilax,20 mL,7.5mg/mL,"R$ 7,38",7896331701081,Solução oral (gotas)
Rapilax,30 mL,7.5mg/mL,"R$ 18,67",7896331704808,Solução oral (gotas)
Recalm,,,,7896083402601,
Ramipril Biosintética - Aché,30 Unidades,2.5mg,,7896181909507,Comprimido
Ramipril Biosintética - Aché,20 Unidades,5mg,,7896181909576,Comprimido
Ramipril Biosintética - Aché,30 Unidades,5mg,,7896181909682,Comprimido
Ramipril Biosintética - Aché,20 Unidades,2.5mg,,7896181909354,Comprimido
Rasilez HCT,28 Unidades,25mg,,7896261015357,Comprimido revestido
Rasilez HCT,28 Unidades,300mg,,7896261015333,Comprimido revestido
Rasilez HCT,28 Unidades,12.5mg,,7896261015296,Comprimido revestido
Rasilez HCT,14 Unidades,12.5mg,,7896261015340,Comprimido revestido
Rasilez HCT,14 Unidades,12.5mg,,7896261015302,Comprimido revestido
