Name,Quantidade na embalagem,Dose,Preço,Codigos de Barras,Infos
Splendil,20 Unidades,10mg,,7896206401771,Comprimido de liberação prolongada
Splendil,20 Unidades,5mg,,7896206401818,Comprimido de liberação prolongada
Splendil,20 Unidades,2.5mg,,7896206401795,Comprimido de liberação prolongada
Splendil,60 Unidades,10mg,,7896206407827,Comprimido de liberação prolongada
Splendil,60 Unidades,2.5mg,,7896206407780,Comprimido de liberação prolongada
Splendil,60 Unidades,5mg,,7896206407803,Comprimido de liberação prolongada
Splendil,30 Unidades,10mg,,7896206407810,Comprimido de liberação prolongada
Splendil,30 Unidades,2.5mg,,7896206407773,Comprimido de liberação prolongada
Splendil,30 Unidades,5mg,,7896206407797,Comprimido de liberação prolongada
Sonridor Caf,4 Unidades,65mg,,7896015517069,Comprimido efervescente
Sonridor Caf,2 Unidades,65mg,,7896015517106,Comprimido efervescente
Sotacor,30 Unidades,120mg,,7896016802676,Comprimido
Sotacor,20 Unidades,160mg,,7896016802294,Comprimido
Secnidal,30 mL,30mg/mL,R$ -,7896070601444,Pó para suspensão oral
Secnidal,2 Unidades,1000mg,"R$ 51,09",7896070601468,Comprimido revestido
Secnidal,4 Unidades,1000mg,"R$ 95,75",7896070601451,Comprimido revestido
Stilnox,10 Unidades,6.25mg,,7891058006228,Comprimido de liberação prolongada
Stilnox,10 Unidades,12.5mg,,7891058006242,Comprimido de liberação prolongada
Stilnox,10 Unidades,10mg,,7897595901668,Comprimido revestido
Stilnox,20 Unidades,10mg,,7897595902146,Comprimido revestido
Stilnox,20 Unidades,6.25mg,,7891058006235,Comprimido com multicamadas de liberação prolongada
Stilnox,20 Unidades,12.5mg,,7891058006259,Comprimido com multicamadas de liberação prolongada
Stilnox,30 Unidades,10mg,,7891058019907,Comprimido revestido
Stilnox,30 Unidades,12.5mg,,7891058019921,Comprimido de liberação prolongada
Stilnox,30 Unidades,6.25mg,,7891058019914,Comprimido de liberação prolongada
Stilnox,14 Unidades,10mg,,7891058001551,Comprimido revestido
Stilnox,14 Unidades,6.25mg,,7891058001568,Comprimido de liberação prolongada
