Name,Quantidade na embalagem,Dose,Preço,Codigos de Barras,Infos
Taxol,,,,,
Temodal,40 mL,100mg,R$ -,7898926572069,Pó para solução injetável
Temodal,1 Unidades,100mg,R$ -,7897572006355,Pó para solução injetável
Temodal,5 Unidades,180mg,"R$ 10935,86",7897572006485,Cápsula dura
Temodal,5 Unidades,250mg,"R$ 14960,88",7897572006492,Cápsula dura
Temodal,5 Unidades,5mg,"R$ 305,27",7897572006447,Cápsula
Temodal,5 Unidades,20mg,"R$ 1221,21",7897572006454,Cápsula
Temodal,5 Unidades,100mg,"R$ 6106,38",7897572006461,Cápsula
Temodal,5 Unidades,250mg,"R$ 12226,01",7897572007208,Cápsula
Temodal,5 Unidades,140mg,"R$ 8505,68",7897572006478,Cápsula
Temodal,5 Unidades,180mg,"R$ 8936,75",7897572007222,Cápsula
Tenoretic,28 Unidades,25mg,,7896206400484,Comprimido
Tenoretic,28 Unidades,12.5mg,,7896206400477,Comprimido
Tenoretic,30 Unidades,25mg,,7896206407698,Comprimido
Tenoretic,60 Unidades,25mg,,7896206407704,Comprimido
Tenoretic,30 Unidades,12.5mg,,7896206407674,Comprimido
Tenoretic,60 Unidades,12.5mg,,7896206407681,Comprimido
Targocid,3 mL,400mg,,7891058077464,Pó para solução injetável
Targocid,3 mL,200mg,,7891058077419,Pó para solução injetável
Tecnocris,,,,7892953201732,
Tagamet,40 Unidades,200mg,,7896015511357,Comprimido revestido
Tagamet,16 Unidades,400mg,,7896015515607,Comprimido revestido
Tagamet,10 Unidades,200mg,,7896015511333,Comprimido revestido
Tecnovorin,,,,7892953200827,
Tetmosol,80 g,4g/g,"R$ 20,87",7896206400453,Sabonete
Tetmosol,100 mL,0.25mg/mL,"R$ 26,19",7896206400460,Solução dermatológica (spray)
Timoptol,,,,7897337705837,
Tracleer,60 Unidades,125mg,,,Comprimido revestido
Trifamox IBL,8 Unidades,250mg,,7898906376311,Comprimido revestido
Trifamox IBL,16 Unidades,250mg,,7898906376328,Comprimido revestido
Trifamox IBL,30 g,25mg/mL,,7898906376342,Pó para preparo de bebida
Trifamox IBL,8 Unidades,500mg,,7898906376335,Comprimido revestido
Trifamox IBL,30 g,50mg/mL,,7898906376359,Pó para preparo de bebida
Trifamox IBL,5 mL,500mg,,7898906376366,Pó para solução injetável
Trifamox IBL,5 mL,1000mg/mL,,7898906376373,Solução injetável
Trusopt,5 mL,20mg/mL,,7897337705813,Solução oftálmica (colírio)
Trusopt,5 mL,20mg/mL,,7898586631403,Solução oftálmica (colírio)
Tofranil,20 Unidades,10mg,"R$ 15,68",7895858014957,Drágea
Tofranil,20 Unidades,25mg,"R$ 19,11",7895858014971,Drágea
Tralen,12 mL,28%,,7891268101072,Solução tópica
Tralen,30 g,10mg,,7891268101058,Pó dermatológico
Tralen,30 g,10mg/g,,7891268101010,Creme dermatológico
Topamax,60 Unidades,15mg,,7896212429714,Cápsula
Topamax,60 Unidades,25mg,,7896212429721,Cápsula gelatinosa
Topamax,60 Unidades,25mg,,7896212429646,Comprimido revestido
Topamax,60 Unidades,50mg,,7896212429653,Comprimido revestido
Topamax,60 Unidades,100mg,,7896212429660,Comprimido revestido
Travatan,2.5 mL,0.04mg/mL,,7896548198636,Solução oftálmica (colírio)
Travatan,5 mL,0.04mg/mL,,7896548197608,Solução oftálmica (colírio)
Tobradex,5 mL,1mg/mL,,7896548112908,Suspensão oftálmica (colírio)
Tobradex,3.5 g,3mg/g,,7896548198070,Pomada oftálmica
Taxotere,0.5 mL,20mg,,7896070605084,Solução injetável
Taxotere,2 mL,80mg,,7896070605091,Solução injetável
Taxotere,1 mL,20mg/mL,,7891058012960,Solução injetável
Taxotere,4 mL,20mg/mL,,7891058012977,Solução injetável
Trental,20 Unidades,400mg,,7891058797041,Comprimido revestido de liberação prolongada
Trental,5 mL,20mg/mL,,7891058798017,Solução injetável
Tazocin,1 Unidades,4g,,7891045008914,Pó para solução injetável
Tazocin,1 Unidades,2g,,7891045008907,Pó para solução injetável
Totelle,,,,7891045007702,
Tri-Luma,15 g,0.1mg/g,,7897930760936,Creme dermatológico
Tri-Luma,30 g,0.1mg/g,,7897930761407,Creme dermatológico
Tri-Luma,6 g,0.1mg/g,,7897930762169,Creme dermatológico
Tylex,24 Unidades,500mg,,7896212423484,Comprimido
Tylex,12 Unidades,500mg,,7896212479580,Comprimido
Tylex,12 Unidades,500mg,,7896212479573,Comprimido
Tylex,36 Unidades,500mg,,7896212425150,Comprimido
Tilatil,10 Unidades,20mg,,7896226500065,Comprimido
Tryptanol,20 Unidades,25mg,,7897337702300,Comprimido revestido
Tryptanol,20 Unidades,75mg,,7897337702454,Comprimido revestido
Tobrex,5 mL,3mg/mL,,7896548112717,Solução oftálmica (colírio)
Tobrex,3.5 g,3mg/g,,7896548198162,Pomada oftálmica
Trileptal,10 Unidades,600mg,,7896261004290,Comprimido revestido
Trileptal,100 mL,60mg/mL,,7896261011106,Suspensão oral
Trileptal,10 Unidades,300mg,,7896261004283,Comprimido revestido
Trileptal,60 Unidades,600mg,,7896261006898,Comprimido revestido
Trileptal,20 Unidades,300mg,,7896261000834,Comprimido revestido
Trileptal,20 Unidades,600mg,,7896261000841,Comprimido revestido
Trileptal,60 Unidades,300mg,,7896261005372,Comprimido revestido
Trofodermin Creme Dermatológico,,,,7891268107302,
Ticlid,,,,7897595901064,
Toradol,,,,7898040322717,
Tandrilax,30 Unidades,30mg,,7896658001666,Comprimido
Tandrilax,15 Unidades,30mg,,7896658004704,Comprimido
Tandrilax,4 Unidades,30mg,,7896658023927,Comprimido
Trivastal Retard,30 Unidades,50mg,,7898029558533,Drágea
Trivastal Retard,15 Unidades,50mg,,7898029558540,Drágea
Terramicina Cápsula,8 Unidades,500mg,,7891268101539,Cápsula
Terramicina Cápsula,100 Unidades,500mg,,7891268101874,Cápsula gelatinosa dura
Trisenox,10 mL,1mg/mL,,7892953001561,Solução injetável
Trisenox,6 mL,2mg/mL,,7898587901550,Solução injetável
Tygacil,,,,7891045008389,
Talerc,10 Unidades,20mg,,7896658003073,Comprimido revestido
Talerc,10 Unidades,10mg,,7896658003042,Comprimido revestido
Talerc,30 Unidades,10mg,,7896658003059,Comprimido revestido
Talerc,50 mL,2mg/mL,,7896658003080,Xarope
Tetralysal,28 Unidades,300mg,"R$ 341,97",7897930761322,Cápsula gelatinosa dura
