Name,Quantidade na embalagem,Dose,Preço,Codigos de Barras,Infos
Ultracet,,,,,
Ultiva,5 Unidades,1mg,,7896269900082,Solução injetável
Ultiva,,2mg,,7896269900259,Pó para solução injetável
Ultiva,5 Unidades,2mg,,7895858016951,Pó para solução injetável
Ultiva,,5mg,,7895858017132,Pó para solução injetável
Unifepim,3 mL,1g,,7896006216742,Pó para solução injetável
Unifepim,1 Unidades,2g,,7896006217312,Pó para solução injetável
Ulcerocin,20 Unidades,300mg,R$ -,7896523206141,Comprimido revestido
Ulcerocin,20 Unidades,150mg,"R$ 15,76",7896523206134,Comprimido revestido
Ultidin Xarope,120 mL,15mg/mL,,7899095245150,Xarope
Ultidin Xarope,120 mL,15mg/mL,,7899095245167,Xarope
Ultidin Xarope,120 mL,15mg/mL,,7899095245174,Xarope
Ultidin Xarope,120 mL,15mg/mL,,7899095245143,Xarope
Ultidin Xarope,120 mL,15mg/mL,,7899095234031,Xarope
Ultravist,500 mL,623.4mg/mL,,7891106906388,Solução injetável
Ultravist,20 mL,623.4mg/mL,,7891106906340,Solução injetável
Ultravist,200 mL,623.4mg/mL,,7891106906371,Solução injetável
Ultravist,50 mL,623.4mg/mL,,7891106906357,Solução injetável
Ultravist,100 mL,768.86mg/mL,,7891106906401,Solução injetável
Ultravist,200 mL,768.86mg/mL,,7891106906418,Solução injetável
Ultravist,50 mL,768.86mg/mL,,7891106906395,Solução injetável
Ultravist,100 mL,623.4mg/mL,,7891106906364,Solução injetável
Ultravist,500 mL,623.4mg/mL,,7891106913546,Solução injetável
Ultravist,500 mL,768.86mg/mL,,7891106908573,Solução injetável
Urovit,25 Unidades,100mg,"R$ 18,20",7896006200994,Drágea
Urovit,18 Unidades,200mg,"R$ 22,61",7896006201007,Drágea
Uni-Carbamaz,100 mL,20mg/mL,,7896006228868,Suspensão oral
Uni-Carbamaz,200 Unidades,200mg,,7896006226260,Comprimido
Uroseptal,6 Unidades,400mg,,7898906376298,Comprimido revestido
Uroseptal,20 Unidades,400mg,,7898906376304,Comprimido revestido
Unigrip,,,,7896006296966,
Urografina,50 mL,,,7891106904117,Solução injetável
Urografina,100 mL,,,7891106904100,Solução injetável
Urografina,100 mL,,,7891106909242,Solução injetável
Ultraproct LDO,30 g,20mg/g,,,Creme
Ursacol,20 Unidades,150mg,,7898074618077,Comprimido
Ursacol,20 Unidades,50mg,,7898074618190,Comprimido
Ursacol,20 Unidades,300mg,,7898074618305,Comprimido
Ursacol,30 Unidades,150mg,,7898074618435,Comprimido
Ursacol,30 Unidades,300mg,,7898074618442,Comprimido
Ursacol,30 Unidades,50mg,,7898074614857,Comprimido
Ulcestop,7 Unidades,30mg,"R$ 24,51",7898096577406,Cápsula gelatinosa dura de liberação retardada
Ulcestop,28 Unidades,30mg,"R$ 95,10",7898096577611,Cápsula gelatinosa dura de liberação retardada
Ulcinax,20 Unidades,200mg,,7896714201122,Comprimido
Ulcinax,16 Unidades,400mg,,7896714201481,Comprimido
Ulcinax,2 mL,300mg,,7896714240077,Solução injetável
Unasyn Injetável,30 Unidades,500mg,"R$ 2098,45",7891268145557,Pó para solução injetável
