Name,Quantidade na embalagem,Dose,Preço,Codigos de Barras,Infos
Vibramicina,15 Unidades,100mg,"R$ 100,67",7891268112078,Comprimido revestido
Vibramicina,20 Unidades,100mg,"R$ 138,62",7891268113013,Comprimido solúvel
Vitanol-A,30 g,0.5mg/g,R$ -,7896251801601,Gel
Vitanol-A,30 g,0.25mg/g,"R$ 43,75",7896251801533,Creme dermatológico
Vitanol-A,30 g,1mg/g,"R$ 73,06",7896015591656,Creme dermatológico
Vitanol-A,30 g,0.1mg/g,"R$ 24,76",7896251801564,Gel
Vitanol-A,30 g,0.5mg/g,"R$ 62,85",7896015591632,Creme dermatológico
Vitanol-A,30 g,0.25mg/g,"R$ 36,04",7896251801588,Gel
Vancocina CP,1 Unidades,500mg,"R$ 51,84",7898911244551,Pó para solução injetável
Vancocina CP,25 Unidades,500mg,"R$ 1738,56",7898901848448,Pó para solução injetável
Vancocina CP,25 Unidades,1g,"R$ 3131,16",7898901848455,Pó para solução injetável
Vancocina CP,1 Unidades,1g,R$ -,7898901848097,Pó para solução injetável
Vancocina CP,50 UTR/g,1g,"R$ 4672,44",7898564760682,Pó para solução injetável
Vancocina CP,50 Unidades,500mg,"R$ 2592,96",7898564760675,Pó para solução injetável
Vancocina CP,10 Unidades,500mg,"R$ 518,57",7898564760705,Pó para solução injetável
Vancocina CP,25 Unidades,500mg,"R$ 1296,45",7898564760712,Pó para solução injetável
Valium,20 Unidades,5mg,,7896226500188,Comprimido
Valium,30 Unidades,10mg,,7896226502458,Comprimido
Valium,20 Unidades,10mg,,7896226500195,Comprimido
Valium,30 Unidades,5mg,,7896226502441,Comprimido
Vytorin,30 Unidades,10mg,R$ -,7897337714488,Comprimido
Vytorin,14 Unidades,40mg,"R$ 157,60",7897337714501,Comprimido
Vytorin,28 Unidades,20mg,"R$ 188,09",7897337706186,Comprimido
Vytorin,28 Unidades,80mg,"R$ 321,57",7897337706179,Comprimido
Vytorin,14 Unidades,20mg,"R$ 94,03",7897337703314,Comprimido
Vytorin,28 Unidades,40mg,"R$ 329,50",7897337706162,Comprimido
Vytorin,28 Unidades,10mg,"R$ 188,09",7897337706193,Comprimido
Vytorin,30 Unidades,10mg,"R$ 201,50",7897337706155,Comprimido
Vytorin,30 Unidades,20mg,"R$ 201,50",7897337714471,Comprimido
Vytorin,30 Unidades,40mg,"R$ 352,96",7897337714495,Comprimido
Velcade,1 Unidades,3.5mg,"R$ 6153,57",7896212424504,Pó para solução injetável
Velcade,,1mg,R$ -,7896212422906,Pó para solução injetável
Vascase,14 Unidades,5mg,R$ -,7896226503134,Comprimido revestido
Vascase,14 Unidades,2.5mg,R$ -,7896226503110,Comprimido revestido
Vascase,28 Unidades,1mg,R$ -,7896226503103,Comprimido revestido
Vascase,28 Unidades,5mg,"R$ 306,65",7896226503141,Comprimido revestido
Vascase,28 Unidades,2.5mg,"R$ 181,49",7896226503127,Comprimido revestido
