Name,Quantidade na embalagem,Dose,Preço,Codigos de Barras,Infos
Xenical,42 Unidades,120mg,"R$ 404,93",7896226500966,Cápsula gelatinosa dura
Xenical,84 Unidades,120mg,"R$ 739,66",7896226500973,Cápsula gelatinosa dura
Xenical,21 Unidades,120mg,"R$ 193,68",7896226506920,Cápsula gelatinosa dura
Xyloproct,,,,7896206401979,
Xalatan,,,,7891268107609,
Xalacom,,,,,
Xatral OD,10 Unidades,10mg,R$ -,7897595901965,Comprimido revestido
Xatral OD,30 Unidades,10mg,"R$ 387,30",7897595903150,Comprimido
Xeloda,60 Unidades,150mg,"R$ 805,81",7896226501147,Comprimido revestido
Xeloda,120 Unidades,500mg,"R$ 4915,71",7896226501154,Comprimido revestido
Xarope Guaco - Melpoejo,60 mL,0.1mL/mL,,7897679600012,Xarope
Xarope Guaco - Melpoejo,100 mL,0.1mL/mL,,7897679600517,Xarope
Xarope 44E,120 mL,13.3mg/mL,"R$ 37,45",,Xarope
Xarope Neo,,,,7896714260457,
Xarope de Guaco Natulab,100 mL,35mg/mL,,7899470802961,Xarope
Xarope de Guaco Natulab,150 mL,117.6mg/mL,,7898133131837,Xarope
Xefo,20 Unidades,8mg,"R$ 34,53",7896112480709,Comprimido revestido
Xefo,30 Unidades,8mg,"R$ 51,72",7896112421498,Comprimido revestido
Xefo,4 Unidades,8mg,"R$ 4,67",7896112410294,Comprimido revestido
Xarelto,10 Unidades,10mg,,7891106007030,Comprimido revestido
Xarelto,14 Unidades,20mg,,7891106907057,Comprimido revestido
Xarelto,28 Unidades,15mg,,7891106907019,Comprimido revestido
Xarelto,30 Unidades,20mg,,7891106007047,Comprimido revestido
Xarelto,28 Unidades,20mg,,7891106907064,Comprimido revestido
Xarelto,14 Unidades,15mg,,7891106907002,Comprimido revestido
Xarelto,5 Unidades,10mg,,7891106007023,Comprimido revestido
Xarelto,100 Unidades,10mg,,7891106007054,Comprimido revestido
Xarelto,98 Unidades,15mg,,7891106907033,Comprimido revestido
Xarelto,42 Unidades,20mg,,7891106907071,Comprimido revestido
Xarelto,98 Unidades,20mg,,7891106907088,Comprimido revestido
Xarelto,60 Unidades,2.5mg,,7891106908191,Comprimido revestido
Xarelto,30 Unidades,2.5mg,,7891106908184,Comprimido revestido
Xarope de Guaco Belfar,100 mL,0.0583mL/mL,"R$ 0,00",7897917003377,Xarope
Xarope de Guaco Belfar,200 mL,0.0583mL/mL,"R$ 0,00",7897917003391,Xarope
Xarope de Guaco Belfar,100 mL,0.0583mL/mL,"R$ 0,00",7897917004299,Xarope
Xantinon Complex,100 mL,40mg/mL,,7896641804441,Solução oral
Xantinon Complex,10 mL,50mg/mL,,7896641804434,Solução oral
Xantinon Complex,10 mL,40mg/mL,,7896641800788,Solução oral
Xantinon Complex,10 mL,40mg/mL,,7896641812880,Solução oral
Xantinon Complex,10 mL,40mg,,7896006297710,Solução oral
Xarope Santo Antonio,100 mL,10mg/mL,"R$ 7,53",7897732600393,Xarope
Xarope Santo Antonio,100 mL,10mg/mL,"R$ 0,00",7897732600437,Xarope
Xylestesin Com Vasoconstritor,20 mL,10mg/mL,"R$ 189,08",7896676400632,Solução injetável
Xylestesin Com Vasoconstritor,20 mL,20mg/mL,"R$ 182,73",7896676400663,Solução injetável
Xylestesin Com Vasoconstritor,20 mL,20mg/mL,R$ -,7896676400335,Solução injetável
Xylocaína Pomada,25 g,50mg/g,,7896206401955,Pomada dermatológica
Xylocaína Pomada,25 g,50mg/g,,7896206401917,Pomada dermatológica
Xeomin,,,,7896112423409,
Xantinon,20 Unidades,100mg,R$ -,7896641800245,Comprimido revestido
Xantinon,30 Unidades,100mg,"R$ 11,99",7896641808647,Comprimido revestido
Xantinon,10 Unidades,100mg,"R$ 36,88",7896641804465,Comprimido revestido
Xolair,2 mL,150mg,R$ -,7896261005365,Pó para solução injetável
Xolair,1 mL,150mg,R$ -,7896261020382,Solução injetável
Xolair,0.5 mL,75mg,R$ -,7896261020375,Solução injetável
Xolair,,150mg,"R$ 2951,88",7896261021167,Pó para solução injetável
Xigris,5 mL,5mg,,7896382703980,Pó para solução injetável
Xigris,20 mL,20mg,,7896382703997,Pó para solução injetável
Xarope Vick,100 mL,16mg/mL,,7896093000156,Xarope
Xenilipi,42 Unidades,120mg,"R$ 276,23",7896004737430,Cápsula gelatinosa dura
Xenilipi,84 Unidades,120mg,"R$ 552,43",7896004737447,Cápsula gelatinosa dura
Xeljanz,180 Unidades,5mg,R$ -,7891268109788,Comprimido revestido
Xeljanz,60 Unidades,5mg,"R$ 10245,29",7891268109795,Comprimido revestido
Xeljanz,60 Unidades,10mg,"R$ 19466,05",7891268031980,Comprimido revestido
Xtandi,120 Unidades,40mg,"R$ 20136,46",7899337000707,Cápsula mole
Xtandi,40 Unidades,40mg,"R$ 5221,65",7899337000691,Cápsula mole
Xtandi,112 Unidades,40mg,"R$ 18794,02",7899337001070,Comprimido revestido
Xtandi,56 Unidades,80mg,"R$ 18794,02",7899337001087,Comprimido revestido
Xylestesin Pesada,2 mL,50mg/mL,"R$ 326,03",7896676405286,Solução injetável
Xylestesin Pesada,2 mL,50mg/mL,R$ -,7896676400373,Solução injetável
Xylestesin Isobárico,5 mL,20mg/mL,R$ -,7896676400342,Solução injetável
Xylestesin Isobárico,5 mL,20mg/mL,"R$ 40,57",7896676425925,Solução injetável
Xylestesin Isobárico,5 mL,20mg/mL,"R$ 169,85",7896676425550,Solução injetável
Xaloftal,2.5 mL,0.05mg/mL,,7899095206076,Solução oftálmica (colírio)
Xaloftal,5 mL,0.05mg/mL,,7899095206083,Solução oftálmica (colírio)
Xaloftal,2.5 mL,0.05mg/mL,,7899095217195,Solução oftálmica (colírio)
Xaloftal,5 mL,0.05mg/mL,,7899095217201,Solução oftálmica (colírio)
Xalanoft,2.5 mL,5mg/mL,"R$ 269,04",7899095217249,Solução oftálmica (colírio)
Xalanoft,5 mL,50mcg/mL,"R$ 372,94",7899095206090,Solução otológica
Xalanoft,2.5 mL,50mcg/mL,R$ -,7899095206106,Solução oftálmica (colírio)
Xalanoft,5 mL,5mg/mL,R$ -,7899095217232,Solução oftálmica (colírio)
Xgeva,,,,7898609960572,
Xigduo XR,14 Unidades,500mg,R$ -,7896016808142,Comprimido revestido
Xigduo XR,14 Unidades,1000mg,R$ -,7896016808111,Comprimido revestido
Xigduo XR,30 Unidades,5mg,R$ -,7896016808128,Comprimido revestido
Xigduo XR,30 Unidades,10mg,R$ -,7896016808159,Comprimido revestido
Xigduo XR,30 Unidades,5mg,R$ -,7896016808104,Comprimido revestido
Xyntha,4 mL,1000UI,"R$ 5474,43",7891268110098,Solução injetável
Xyntha,4 mL,250UI,"R$ 1404,23",7891268110050,Pó para solução injetável
Xyntha,4 mL,500UI,"R$ 2704,98",7891268110074,Pó para solução injetável
Xyntha,4 mL,2000UI,"R$ 11000,86",7891045166225,Pó para solução injetável
Xarope de Guaco Herbarium,,,,7896083404070,
Xalkori,60 Unidades,200mg,"R$ 45093,17",7891268110371,Cápsula dura
Xalkori,60 Unidades,250mg,"R$ 55728,55",7891268110401,Cápsula dura
Xofigo,6 mL,1100mL,,7891106911320,Solução injetável
Xofigo,6 mL,1000mL,,7891106909259,Solução injetável
Xultophy,3 mL,100U/mL,,7897705202388,Solução injetável
Xultophy,3 mL,100U/mL,,7897705202364,Solução injetável
Xultophy,3 mL,100U/mL,,7897705202371,Solução injetável
Xylocaína Geleia,,,,,
Xadago,14 Unidades,50mg,"R$ 118,14",7898074617797,Comprimido revestido
Xadago,30 Unidades,50mg,"R$ 253,10",7898074613775,Comprimido revestido
Xadago,90 Unidades,50mg,"R$ 759,27",7898074614079,Comprimido revestido
Xadago,30 Unidades,100mg,"R$ 506,18",7898074617889,Comprimido revestido
Xadago,90 Unidades,100mg,"R$ 1518,57",7898074617896,Comprimido revestido
Xylestesin Gel,30 g,20mg/g,"R$ 197,85",7896676400366,Gel
Xylestesin Gel,10 g,20mg/g,"R$ 247,23",7896676408195,Gel
Xylestesin Spray,,,,7896676405644,
Xarope de Guaco - Cimed,,,,7896523223186,
Xilfya,,,,7891045032148,
Xifaxan,14 Unidades,550mg,,7896112401681,Comprimido revestido
Xifaxan,28 Unidades,550mg,,7896112401698,Comprimido revestido
Xifaxan,56 Unidades,550mg,,7896112401704,Comprimido revestido
Xynaz,30 Unidades,25mg,"R$ 59,51",7898927562687,Comprimido
Xynaz,30 Unidades,100mg,"R$ 247,60",7898927562717,Comprimido
Xaro Ervas,,,,7898374658728,
Xylestesin Sem Vasoconstritor,20 mL,10mg/mL,R$ -,7896676400328,Solução injetável
Xylestesin Sem Vasoconstritor,20 mL,10mg/mL,"R$ 156,49",7896676400649,Solução injetável
Xylestesin Sem Vasoconstritor,20 mL,20mg/mL,"R$ 139,38",7896676400359,Solução injetável
Xylestesin Sem Vasoconstritor,1.8 mL,20mg,"R$ 294,04",7896676401967,Solução injetável
Xospata,,,,7899337001063,
Xilbrilada,0.8 mL,40mg,"R$ 15181,18",7891045163910,Solução injetável
Xilbrilada,0.8 mL,40mg,"R$ 7590,56",7891045163958,Solução injetável
Xilbrilada,0.8 mL,40mg,"R$ 15181,18",7891045163934,Solução injetável
Xilbrilada,0.8 mL,40mg,"R$ 7590,56",7891045163897,Solução injetável
Xafac,7 Unidades,2.5mg,,7896637032902,Comprimido revestido
Xafac,15 Unidades,2.5mg,,7896637033084,Comprimido revestido
Xafac,30 Unidades,2.5mg,,7896637032919,Comprimido revestido
Xafac,60 Unidades,2.5mg,,7896637032926,Comprimido revestido
Xafac,5 Unidades,10mg,,7896637032933,Comprimido revestido
Xafac,7 Unidades,10mg,,7896637033091,Comprimido revestido
Xafac,10 Unidades,10mg,,7896637032940,Comprimido revestido
Xafac,15 Unidades,10mg,,7896637033107,Comprimido revestido
Xafac,30 Unidades,10mg,,7896637032957,Comprimido revestido
Xafac,60 Unidades,10mg,,7896637033114,Comprimido revestido
Xafac,100 Unidades,10mg,,7896637033121,Comprimido revestido
