Name,Quantidade na embalagem,Dose,Preço,Codigos de Barras,Infos
Yomax,,,,,
Yaz,24 Unidades,3mg,"R$ 112,50",7891106909037,Comprimido revestido
Yaz,28 Unidades,3mg,"R$ 112,50",7891106906982,Comprimido revestido
Yaz,84 Unidades,3mg,"R$ 241,69",7891106906074,Comprimido revestido
Yaz,72 Unidades,3mg,"R$ 231,66",7891106914154,Comprimido revestido
Yasmin,21 Unidades,3mg,"R$ 112,50",7891106906067,Comprimido revestido
Yasmin,63 Unidades,3mg,"R$ 337,44",7891106906999,Comprimido revestido
Yasmin,84 Unidades,3mg,"R$ 337,44",7891106909068,Comprimido revestido
Yasmin,28 Unidades,3mg,"R$ 112,50",7891106909044,Comprimido revestido
Yervoy,40 mL,200mg,,7896016807596,Solução injetável
Yervoy,10 mL,50mg,,7896016807589,Solução injetável
Yang 30,21 Unidades,3mg,"R$ 50,98",7898945030038,Comprimido revestido
Yang 30,63 Unidades,3mg,"R$ 132,53",7898945030045,Comprimido revestido
Yang 30,28 Unidades,3mg,"R$ 66,29",7898569764128,Comprimido revestido
Yang 30,84 Unidades,3mg,"R$ 180,57",7898569764135,Comprimido revestido
Ylana,21 Unidades,3mg,,7898495607551,Comprimido revestido
Ylana,63 Unidades,3mg,,7898495607582,Comprimido revestido
Yondelis,1 Unidades,1mg,,7896212422852,Pó para solução injetável
Yondelis,,1mg,,7892953208496,Pó para solução injetável
Yaz Flex,30 Unidades,3mg,,7891106908498,Comprimido revestido
Yaz Flex,60 Unidades,3mg,,7891106912075,Comprimido revestido
Yaz Flex,90 Unidades,3mg,,7891106912082,Comprimido revestido
Yaz Flex,120 Unidades,3mg,,7891106912099,Comprimido revestido
Yvi,28 Unidades,2mg,"R$ 110,53",7896004757049,Comprimido revestido
Yvi,56 Unidades,2mg,"R$ 221,07",7896004768427,Comprimido revestido
Yvi,84 Unidades,2mg,"R$ 331,63",7896004768434,Comprimido revestido
Yescarta,,,,7898962482247,
Yuflyma,0.4 mL,100mg/mL,,7898576550318,Solução injetável
Yuflyma,0.4 mL,100mg/mL,,7898576550332,Solução injetável
Yesom,,40mg,"R$ 39,66",,Pó para solução injetável
Yupelri,3 mL,58.33mcg/mL,,7898560662362,Solução inalatória (inalador)
Yupelri,3 mL,58.33mcg/mL,,7898560662348,Solução inalatória (inalador)
